"SHCODE","YEAR","N015","PRI15","PRIC15","SEC15","SECC15","HIGH15","HIGHC15","TYR15","PYR15","SYR15","HYR15"
45,1985,54.4,27.5,5.6,17.6,2.1,0.6,0.3,2.57,2.08,0.47,0.02
45,1990,50.9,30.4,6.2,18,3.8,0.8,0.4,2.81,2.22,0.56,0.02
46,1960,54.2,39.3,5.5,5.9,1.9,0.6,0.5,2.65,2.31,0.31,0.02
46,1965,54,39.7,10.9,5.9,1.9,0.5,0.4,2.85,2.53,0.3,0.02
46,1970,53.3,39.6,11.6,6.6,2,0.5,0.3,2.97,2.62,0.33,0.02
46,1975,46.8,45.2,9.2,7.3,1.8,0.7,0.3,3.21,2.82,0.37,0.02
46,1980,37.7,46,9.4,16,3.6,0.3,0,4.25,3.52,0.73,0.01
46,1985,33.1,50.8,10.4,15.6,2.7,0.5,0.2,4.45,3.73,0.71,0.01
46,1990,29,55,11.2,15.3,2.2,0.7,0.3,4.65,3.93,0.7,0.02
47,1960,52.3,45.1,10,1.9,0.1,0.6,0.5,1.64,1.5,0.11,0.02
47,1965,47.5,49.3,11.8,2.6,0.1,0.5,0.4,1.84,1.68,0.14,0.02
47,1970,40.9,55.2,9.4,3.4,0,0.5,0.3,1.99,1.81,0.17,0.02
47,1975,41.3,53.7,10.3,4.3,0.1,0.7,0.3,2.08,1.85,0.21,0.02
47,1980,41.8,52.6,10.5,4.9,0.1,0.8,0.4,2.13,1.86,0.24,0.02
47,1985,39.6,46.8,9.5,12.4,0.2,1.2,0.5,2.69,2.09,0.57,0.03
47,1990,31.4,47.4,9.7,19.4,0.6,1.7,0.7,3.42,2.48,0.89,0.05
49,1960,1.8,81.4,34.5,16.2,3.2,0.6,0.3,5.46,4.49,0.95,0.02
49,1965,2.1,75.7,20.9,21.4,3.8,0.8,0.3,5.5,4.23,1.25,0.02
49,1970,0.9,25,6.9,73.1,18,1,0.3,9.71,5.4,4.28,0.03
49,1975,2.2,23.9,6.6,71.7,17.3,2.2,0.6,9.69,5.35,4.28,0.06
49,1980,1.8,61.7,17.1,32.3,5.4,4.2,1.3,6.77,4.55,2.11,0.11
49,1985,2.2,53.9,14.9,37.6,7.3,6.3,2.4,7.48,4.7,2.6,0.18
49,1990,2.5,49,13.6,40.7,8.9,7.7,3.8,7.93,4.78,2.92,0.23
50,1960,1.4,22.6,13,45.5,18.8,30.6,7.8,10.16,5.63,3.76,0.77
50,1965,3,24.4,13.7,43.3,15.2,29.2,7.1,9.73,5.5,3.51,0.73
50,1970,1,31.4,16.2,38.1,12.5,29.5,6.8,9.49,5.48,3.29,0.72
50,1975,1.4,24.4,10,43.8,13.8,30.3,6.9,9.77,5.48,3.55,0.74
50,1980,1.6,19.1,7.9,43.6,14.4,35.6,8.2,10.32,5.57,3.88,0.88
50,1985,1,16.7,12.6,63.9,24.7,18.4,3.2,10.01,5.81,3.76,0.43
50,1990,0.8,13.5,10.2,64.9,27.3,20.8,3.8,10.36,5.85,4.01,0.49
51,1960,16.8,70.7,20.4,10.1,2.7,2.4,1.2,4.03,3.48,0.48,0.07
51,1965,17.2,69.3,22.5,10.6,2.6,2.9,1.3,4.16,3.56,0.51,0.08
51,1970,17.2,69.3,14.8,10.6,3.6,2.9,0.8,3.94,3.33,0.53,0.07
51,1975,11.7,64.9,23.4,17.9,6.9,5.4,1.7,5.14,4.05,0.95,0.14
51,1980,10.9,62.6,15,18.1,4.5,8.3,3,5.19,3.91,1.05,0.23
51,1985,10.8,61.3,14,17.2,4.7,10.7,4.7,5.39,3.94,1.15,0.31
51,1990,11.1,59.8,13.4,16.1,4.5,13,6.2,5.55,3.94,1.22,0.38
53,1960,35.3,60.7,16.2,3.2,0.6,0.7,0.3,2.7,2.54,0.13,0.02
53,1965,37.4,57.6,12.1,4.1,0.6,0.9,0.4,2.57,2.39,0.16,0.03
53,1970,32.7,48.7,5.6,16.7,3.8,1.9,0.6,3.4,2.75,0.6,0.05
53,1975,35.2,44.3,7.6,17.3,3.1,3.2,1,3.53,2.79,0.66,0.08
53,1980,36.8,40.2,8.2,18.1,3.5,4.9,1.7,3.75,2.83,0.79,0.13
53,1985,37,37.1,8,18.8,3.9,7.1,2.7,4.06,2.91,0.96,0.2
53,1990,36.1,34.7,7.6,19.2,4.1,9.9,4,4.44,3.02,1.15,0.28
54,1960,56.2,37.2,6.3,6.2,2.3,0.4,0.2,1.99,1.7,0.28,0.01
54,1965,53.4,39.2,7.7,6.8,2.1,0.6,0.2,2.17,1.85,0.3,0.02
54,1970,45.7,43.6,9.2,8.8,2.6,1.9,0.9,2.74,2.23,0.45,0.06
54,1975,43.1,46,10,8.1,2.4,2.8,1,2.89,2.34,0.48,0.08
54,1980,30.2,60.7,13.4,6.9,1.7,2.3,1.1,3.24,2.77,0.4,0.07
54,1985,30.9,58.9,13,5.7,1.1,4.6,1.2,3.36,2.77,0.48,0.12
54,1990,32.2,56.5,12.5,4.8,0.6,6.5,2.4,3.48,2.75,0.55,0.18
56,1960,67.5,28,7.6,4.1,0.9,0.3,0,1.5,1.33,0.16,0.01
56,1965,66.4,28.8,7.4,4.3,0.9,0.6,0.2,1.57,1.38,0.18,0.02
56,1970,64.5,29.8,6.8,4.7,0.8,1,0.3,1.68,1.44,0.21,0.03
56,1975,62,29.8,6.7,7.1,1.5,1.1,0.3,1.91,1.59,0.3,0.03
56,1980,47.9,39.3,8.8,10.7,2.4,2,0.4,2.72,2.21,0.47,0.05
56,1985,46.8,40.3,9,10,2.1,3,1.1,2.82,2.25,0.49,0.08
56,1990,44.7,40.5,9,11.1,1.9,3.7,1.6,3.04,2.38,0.56,0.11
57,1960,90.2,4,1,5.6,2.3,0.2,0.1,0.78,0.5,0.27,0.01
57,1965,88.1,6.2,1.4,5.3,2.2,0.3,0.1,0.84,0.57,0.27,0.01
57,1970,78.3,16.1,2.2,5.3,2.6,0.3,0.2,1.18,0.89,0.28,0.01
57,1975,77.8,16.3,3.1,5.6,2.1,0.3,0.2,1.23,0.94,0.28,0.01
57,1980,68.2,21.1,4.4,10.2,3.7,0.6,0.3,1.93,1.41,0.5,0.02
57,1985,48.4,37.3,8.1,13.8,4.9,0.6,0.3,2.89,2.22,0.65,0.02
57,1990,49.7,34.8,7.7,14.7,4.9,0.7,0.4,2.91,2.2,0.69,0.02
58,1960,56.9,38.1,7.7,4.4,1.6,0.5,0.2,1.87,1.67,0.19,0.01
58,1965,54.1,40.8,10.5,4.4,1.7,0.6,0.3,2.06,1.84,0.2,0.02
58,1970,50,44.5,10.3,4.7,1.9,0.9,0.4,2.22,1.98,0.22,0.02
58,1975,44,47.5,11,7.5,4.1,0.9,0.1,2.63,2.26,0.35,0.02
58,1980,40.6,49.4,9.6,8.1,2.7,2,0.5,2.82,2.37,0.4,0.05
58,1985,25.6,54.2,11.4,17.4,8.8,2.9,0.9,4.1,3.18,0.84,0.08
58,1990,23,57,12.4,16.2,7,3.8,1.6,4.21,3.28,0.82,0.11
59,1960,16.1,76.9,21.3,6.6,0.7,0.4,0.1,2.54,2.24,0.28,0.01
59,1965,15.9,69.9,19.3,13.5,1.5,0.8,0.2,2.95,2.35,0.58,0.02
59,1970,4,83,23,11.9,1.3,1,0.2,3.19,2.64,0.53,0.02
59,1975,3.1,74.8,20.7,20.4,2.5,1.6,0.5,3.75,2.79,0.92,0.04
59,1980,2.7,70,19.4,25.7,4.2,1.6,0.4,4.07,2.88,1.16,0.04
59,1985,3.3,63.6,17.6,31.2,5.9,1.9,0.9,4.43,2.95,1.43,0.06
59,1990,3.8,58.3,16.1,35.3,7.2,2.6,1.1,4.74,3,1.67,0.07
60,1960,40.1,52.2,12,6.5,1.9,1.3,0.5,2.76,2.39,0.33,0.04
60,1965,40.4,51.1,14.6,6.9,2.1,1.7,0.6,2.9,2.48,0.37,0.05
60,1970,30.3,56.7,17.5,10.6,4.4,2.5,0.9,3.68,3.01,0.6,0.07
60,1975,28,56.4,17.9,11.9,2.8,3.7,1.2,3.93,3.17,0.67,0.1
60,1980,27.6,46.4,18.7,20.4,5.6,5.6,1.9,4.77,3.51,1.11,0.15
60,1985,22.2,48.1,16.5,22.7,6.3,7,2.6,5.2,3.72,1.29,0.19
60,1990,13.7,42.8,19.7,35,14.6,8.5,3.5,6.72,4.48,2,0.24
61,1960,56.1,35.8,9.6,5.2,1.3,2.8,1.8,2.26,1.84,0.32,0.09
61,1965,52.2,38.5,9.2,5.3,1.1,4,2.4,2.49,1.99,0.38,0.13
61,1970,48.3,38.8,8.9,7.8,1.7,5.1,2.9,2.89,2.2,0.52,0.16
61,1975,45.5,41.6,9.3,7.4,1.4,5.5,2.8,2.99,2.3,0.52,0.17
61,1980,43.3,41.7,9.3,8.2,1,6.8,3,3.23,2.43,0.61,0.19
61,1985,39.7,44.2,9.8,9,1.4,7.1,3.7,3.45,2.58,0.65,0.21
61,1990,36.6,45.6,10.1,10.5,1.6,7.3,3.8,3.68,2.74,0.71,0.22
62,1960,23.2,56.2,27.5,18.5,4.6,2.2,1,4.64,3.75,0.83,0.07
62,1965,22.4,55.5,16,19.2,6.4,2.9,1.2,4.49,3.47,0.94,0.08
62,1970,22.5,53.8,16.5,19.4,9.5,4.3,2.2,4.78,3.53,1.12,0.13
62,1975,22.2,51.2,18.5,20.5,6.3,6.1,2.4,5.02,3.68,1.17,0.17
62,1980,14.1,45.8,23.5,32.4,15.8,7.8,2.9,6.62,4.49,1.91,0.21
62,1985,13.7,44.9,17.5,31,11.6,10.4,4.3,6.56,4.36,1.9,0.3
62,1990,10.2,38.7,21.7,36.7,20.7,14.5,7.6,7.91,4.88,2.59,0.44
65,1960,11.3,72.8,18.5,15.1,4.3,0.7,0.4,4.6,3.69,0.89,0.02
65,1965,11.6,70.2,18.6,17.3,3.3,0.9,0.4,4.78,3.75,1,0.03
65,1970,8.1,69.5,20.4,21.5,3.8,1,0.4,5.29,4.05,1.22,0.03
65,1975,9,66,24.7,23.4,3.6,1.6,0.5,5.62,4.22,1.35,0.04
65,1980,1,62,37.8,34.6,4.9,2.2,1,7.26,5.21,1.99,0.06
65,1985,2.7,58.4,21.3,36.3,6.9,2.6,1.3,6.94,4.73,2.13,0.08
65,1990,3.7,52.6,14.6,40.6,8.8,3.1,1.5,7.15,4.64,2.42,0.09
66,1960,2,36.8,17.2,46.7,16.5,14.5,7,8.49,5.29,2.77,0.43
66,1965,1.8,34.5,27,46.9,17.3,16.8,7.7,9.09,5.67,2.93,0.49
66,1970,1.4,32.6,29.6,45.6,18.6,20.3,8.8,9.56,5.83,3.15,0.58
66,1975,1.8,30.2,20.2,43.5,20.2,24.6,10.7,9.69,5.6,3.39,0.71
66,1980,0.9,5.1,3,66.2,49.3,28.1,12.9,11.86,5.9,5.15,0.82
66,1985,1.4,4.9,2.5,61.9,33.4,31.8,15.3,11.56,5.85,4.77,0.94
66,1990,1.1,8.6,4.1,47.3,22,42.9,21.8,11.74,5.79,4.65,1.3
67,1960,10.2,71.8,19.5,14.8,5.4,3.2,1.2,5.25,4.45,0.71,0.09
67,1965,10.3,70.8,22.1,14.4,5,4.4,1.7,5.45,4.57,0.75,0.12
67,1970,7,69.3,30.5,19.3,6.4,4.4,1.7,6.21,5.15,0.93,0.12
67,1975,6.6,67.4,25.6,18.9,5.8,7.1,2.3,6.3,5.07,1.04,0.19
67,1980,5.7,61.4,31.5,26.2,8.9,6.7,2.5,7.03,5.55,1.3,0.18
67,1985,6.1,58.5,24.9,25.5,8,9.9,3.6,7.09,5.4,1.42,0.27
67,1990,4.8,51.2,32,30.7,10,13.2,5.1,8.13,5.99,1.78,0.37
68,1960,37.9,20,5.5,39.7,13.3,2.4,1.3,5.37,3.29,2,0.07
68,1965,39.2,24.1,6.7,34,11.4,2.7,1.3,4.95,3.13,1.75,0.08
68,1970,38.8,28.2,7.8,29.3,9.8,3.7,1.5,4.75,3.06,1.59,0.1
68,1975,38.1,31.1,8.6,26.1,11.7,4.7,2,4.74,3.04,1.56,0.14
68,1980,36.1,35.8,9.9,22.3,7.8,5.8,2.6,4.62,3.06,1.4,0.17
68,1985,33.7,38.6,10.7,20.5,6.4,7.2,3.2,4.73,3.14,1.38,0.21
68,1990,31.3,41,11.4,18.3,5.4,9.3,4,4.89,3.23,1.4,0.27
69,1960,47.5,36.4,9.9,14.3,4.6,1.8,1,2.85,1.96,0.84,0.06
69,1965,43.2,41.7,13,13.4,4.2,1.7,0.9,2.96,2.12,0.78,0.05
69,1970,37.5,47.4,20.8,13.5,4.7,1.7,0.6,3.31,2.47,0.8,0.05
69,1975,26.9,61.6,5.2,7.7,2.4,3.8,1.4,2.99,2.24,0.64,0.1
69,1980,27.5,59,6.3,9.3,2.7,4.3,1.7,3.19,2.31,0.75,0.12
69,1985,26.1,60.1,10.2,8.6,2.5,5.3,2.4,3.39,2.45,0.78,0.15
69,1990,18.7,63.9,6.9,11.3,3.6,6.1,3,3.81,2.64,0.99,0.18
70,1960,17.3,56.2,23.8,24.6,10.7,1.9,0.9,5.21,3.99,1.17,0.06
70,1965,15.4,58.3,17,23.9,9.3,2.4,1.1,5.04,3.84,1.14,0.07
70,1970,9.6,57.6,14.3,28.9,10.8,3.8,1.7,5.65,4.12,1.42,0.11
70,1975,9.2,58,13.5,27.4,9.5,5.4,2.1,5.69,4.11,1.43,0.15
70,1980,6.9,52.5,11.9,33.5,11.6,7.1,3.5,6.36,4.37,1.78,0.21
70,1985,6.2,51.8,11.6,33.6,11,8.4,4.1,6.52,4.42,1.85,0.25
70,1990,6.1,50.1,11.2,33.7,11,10.1,5,6.71,4.46,1.95,0.3
71,1960,31.4,52.8,11.2,14,4,1.8,1,3.2,2.39,0.75,0.06
71,1965,27.9,60.4,11.9,10.5,3.8,1.2,0.5,2.99,2.39,0.57,0.03
71,1970,29.6,57.6,12.7,11.1,2.8,1.7,0.6,3.05,2.4,0.6,0.05
71,1975,18.6,55,12.2,23,6.7,3.3,1.3,4.34,3,1.25,0.09
71,1980,19.8,53.1,11.8,22.7,6.5,4.4,1.8,4.41,2.98,1.3,0.12
71,1985,19.4,52,11.5,22.8,6.4,5.8,2.4,4.57,3.02,1.39,0.16
71,1990,20.3,49.6,11,22.8,6.7,7.3,3.3,4.71,3.02,1.48,0.21
72,1960,32.9,56.7,14.1,9.2,2.9,1.3,0.6,3.23,2.75,0.44,0.04
72,1965,33,56.3,16.7,9.2,2.8,1.5,0.7,3.33,2.83,0.45,0.04
72,1970,31.8,56.6,19,9.2,2.6,2.4,0.8,3.53,2.97,0.5,0.07
72,1975,25.4,54.6,24.3,16.9,7.1,3.1,0.7,4.56,3.57,0.91,0.08
72,1980,19.4,48.4,34.4,25,11.4,7.2,0.9,6.11,4.42,1.53,0.16
72,1985,18.3,48.2,19,22.3,7,11.2,4,5.87,4.02,1.55,0.3
72,1990,17.4,48.2,13.9,22.1,6.8,12.4,6.2,5.91,3.93,1.61,0.37
73,1960,12.9,76.1,38.9,10.5,1.6,0.4,0.3,4.48,4.1,0.37,0.01
73,1965,11.4,70.6,19.5,17.6,2.4,0.4,0.2,4.4,3.79,0.6,0.01
73,1970,8.4,73.6,20.3,17.2,1.9,0.8,0.3,4.52,3.9,0.6,0.02
73,1975,9.4,66,18.3,23.3,3.7,1.2,0.4,4.87,4,0.84,0.03
73,1980,5.6,66.9,18.5,26,4.2,1.6,0.8,5.2,4.22,0.94,0.05
73,1985,6.8,60,16.6,31.6,6,1.6,0.9,5.49,4.29,1.15,0.05
73,1990,7.1,56.6,15.7,34,7.3,2.2,0.9,5.68,4.34,1.28,0.06
74,1960,21.3,68.6,17.6,9,2.8,1,0.5,3.64,3.19,0.42,0.03
74,1965,21.1,68.9,16,8.7,2.7,1.4,0.7,3.62,3.15,0.42,0.04
74,1970,15,69.3,13.9,13.8,5.4,1.9,1,4.18,3.44,0.69,0.06
74,1975,14.2,70,18.5,13.1,4.1,2.7,1.2,4.36,3.6,0.68,0.08
74,1980,10.9,64.8,18.5,21.1,7.2,3.1,1.3,5.08,3.95,1.04,0.09
74,1985,11.3,64.3,14.5,20.3,6.6,4.1,2,5,3.83,1.05,0.12
74,1990,11.8,63.7,14.2,19.8,6.5,4.7,2.7,5.03,3.81,1.07,0.15
75,1960,37.6,48,12.5,12,4.3,2.3,1.1,3.3,2.67,0.56,0.07
75,1965,39,46,13,11.9,4,3.1,1.3,3.35,2.67,0.59,0.09
75,1970,27.9,47.3,16.8,20.5,9.4,4.4,1.8,4.56,3.41,1.02,0.12
75,1975,27,47.6,15.8,19.5,7,5.8,2.4,4.61,3.43,1.02,0.16
75,1980,18.3,41.4,16.6,30.5,12.6,9.9,4.6,6.11,4.16,1.66,0.29
75,1985,17.5,42.4,12.1,28.2,10,11.9,5.5,6.03,4.04,1.64,0.35
75,1990,15,44.6,11,25.1,8.1,15.3,6.7,6.21,4.09,1.68,0.44
77,1960,11.1,63.2,18.2,21,5.2,4.7,2.6,5.36,3.98,1.23,0.15
77,1965,11.7,68.2,25,15.1,3.2,5.1,2.9,5.13,4,0.97,0.16
77,1970,12.6,58.5,20.9,23.4,5.3,5.5,3.1,5.66,4.12,1.37,0.17
77,1975,8.1,61,28.2,24.3,5.5,6.5,3.3,6.2,4.53,1.47,0.2
77,1980,6,61.4,19,25,5.7,7.5,3.9,6.16,4.36,1.57,0.23
77,1985,4,52.5,13.4,35.3,8.6,8.2,3,6.89,4.59,2.07,0.22
77,1990,4.6,49.6,11.7,35.5,8.2,10.4,4.9,7.1,4.59,2.2,0.31
78,1960,42.7,48.5,18,7.5,2.4,1.3,0.5,2.9,2.53,0.34,0.04
78,1965,38.1,51.1,14,8.7,2.1,2.1,0.7,3.06,2.6,0.41,0.06
78,1970,43.1,40,9.7,13.9,3.7,2.9,0.7,3.21,2.5,0.64,0.07
78,1975,39.3,40.4,9.3,15,3.4,5.3,1.6,3.63,2.71,0.78,0.14
78,1980,17.9,45.1,10.2,30.5,9.9,6.4,2,5.48,3.87,1.43,0.17
78,1985,17.2,45.6,10.2,27.6,8.6,9.5,3.6,5.64,3.9,1.47,0.26
78,1990,18.2,56.4,12.5,14.9,4.9,10.5,4.1,4.96,3.59,1.07,0.29
79,1960,84,7,2.4,5,1.8,4,2.8,1.4,0.82,0.44,0.14
79,1965,85.7,6.7,2.4,4.3,1.5,3.3,2.3,1.21,0.73,0.37,0.11
79,1970,85.9,7,2.9,4.3,1.3,2.8,1.9,1.16,0.72,0.34,0.1
79,1975,85.4,7.6,4.5,4.5,1.9,2.5,1.6,1.2,0.78,0.34,0.08
79,1980,83,10.9,1.3,2.5,0.4,3.6,2.4,1.15,0.73,0.3,0.12
79,1985,80.7,12.7,3.1,3.5,0.7,3.1,2,1.29,0.87,0.31,0.1
79,1990,81.5,11.7,3.8,4,1,2.8,1.8,1.28,0.87,0.32,0.09
80,1960,85.5,8.7,4.8,3.2,0.5,2.6,1.2,1.01,0.75,0.18,0.08
80,1965,78.5,10.7,7.6,8.6,1.2,2.3,1,1.55,1.2,0.29,0.07
80,1970,63.4,14.2,5.9,18.9,5.6,3.6,1.6,2.69,1.95,0.63,0.1
80,1975,55.2,19.3,7.3,22.3,6.9,3.2,1.3,3.13,2.33,0.71,0.09
80,1980,51.4,18.6,6.7,26.3,8.8,3.6,1.3,3.5,2.55,0.85,0.1
80,1985,47.5,17.8,6.2,30.3,10.6,4.4,1.5,3.92,2.8,0.99,0.12
80,1990,32.1,32.3,11.2,27.2,8.7,8.3,3,4.72,3.44,1.05,0.23
81,1960,87,9.3,2.5,3.3,0.8,0.4,0.2,0.61,0.48,0.12,0.01
81,1965,82.5,12.3,3.4,4.8,1,0.4,0.2,0.83,0.65,0.17,0.01
81,1970,85.4,6.9,1.9,7,1.4,0.6,0.2,0.86,0.6,0.24,0.02
81,1975,78.1,10.7,2.9,10.4,2,0.9,0.4,1.28,0.9,0.35,0.02
81,1980,67.1,17.3,4.7,14.5,4.9,1.1,0.4,1.9,1.33,0.54,0.03
81,1985,63,21,5.7,14.4,4,1.7,0.6,2.06,1.47,0.54,0.05
81,1990,59.6,24.2,6.6,14.3,4.1,2,0.9,2.2,1.58,0.56,0.06
82,1960,73.1,17.5,4.8,8.9,2.9,0.5,0.2,1.15,0.82,0.32,0.01
82,1965,71.1,19.3,5.3,9.1,2.7,0.6,0.3,1.21,0.88,0.32,0.02
82,1970,67.6,21.8,6,9.7,2.7,0.8,0.3,1.35,0.98,0.35,0.02
82,1975,69.2,17.7,4.8,12.9,3.1,0.2,0,1.39,0.98,0.41,0
82,1980,63.5,23,6.3,12.6,3.7,0.9,0.1,1.6,1.13,0.46,0.02
82,1985,47.3,32.6,8.9,18.3,5.8,1.8,0.6,2.38,1.64,0.69,0.05
82,1990,42.6,37.9,10.4,17.1,5.3,2.4,1,2.49,1.74,0.68,0.07
83,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.9,0.7,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.03
83,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.8,0.6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.03
83,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.8,0.6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.03
83,1975,40.2,27.5,10.4,31.4,9.6,0.9,0.6,4.38,3.07,1.28,0.03
83,1980,34,31.3,11.8,33.7,9.9,0.9,0.6,4.76,3.37,1.36,0.03
83,1985,31.5,33.3,12.5,34.3,10.9,1,0.6,4.93,3.49,1.41,0.03
83,1990,22.2,34.6,13,41.3,13.5,1.9,1.4,5.85,4.02,1.76,0.07
84,1960,29.7,45.1,21.2,21,9,4.3,2.2,5.17,3.51,1.53,0.13
84,1965,27.5,40.9,22.9,26.6,13.4,4.9,2.5,5.9,3.81,1.95,0.15
84,1970,23.9,41,24.2,32.5,18.4,2.6,0.9,6.31,4.07,2.18,0.07
84,1975,20.2,39.9,20.4,36.6,20.7,3.3,1,6.76,4.2,2.47,0.09
84,1980,16.1,34.2,21.5,43,24.8,6.6,2.9,7.95,4.65,3.11,0.19
84,1985,14.1,29.2,15.7,49.5,22.8,7.2,3.1,8.39,4.75,3.44,0.21
84,1990,12.8,25.1,13.1,50.8,31.6,11.2,5.3,9.15,4.87,3.96,0.33
85,1960,72.2,24.6,8.4,2.8,0.1,0.3,0,1.68,1.57,0.11,0.01
85,1965,69.1,26.5,9,4,0.3,0.4,0,1.93,1.77,0.15,0.01
85,1970,66.6,26.7,9.6,5.5,0.8,1.1,0.1,2.27,1.98,0.26,0.02
85,1975,62.6,28.5,10.5,6.8,1.3,2.1,0.6,2.7,2.27,0.37,0.06
85,1980,66.6,12.6,4.7,18.5,5.4,2.4,0.7,3.27,2.36,0.86,0.06
85,1985,61.6,16.5,6.1,18.6,5.3,3.3,1.4,3.66,2.65,0.91,0.09
85,1990,55.8,20.5,7.6,20.1,5.5,3.6,1.9,4.12,3.02,0.99,0.11
86,1960,68,28.6,11.8,3.4,0.7,0.1,0,1.55,1.42,0.13,0
86,1965,63.7,31.8,13.8,4,1,0.5,0,1.83,1.64,0.18,0.01
86,1970,45.2,46.7,21.6,7.6,2.4,0.4,0,2.87,2.53,0.33,0.01
86,1975,43,47.3,18.9,9,2.9,0.7,0.2,2.98,2.57,0.4,0.02
86,1980,31.9,55.1,22.1,12.4,5.2,0.6,0.1,3.67,3.09,0.56,0.01
86,1985,23.6,63.5,25.6,12.3,5,0.5,0.1,4,3.44,0.55,0.01
86,1990,19.7,63.1,30.7,15.5,4.6,1.7,0.2,4.59,3.85,0.71,0.04
87,1960,88.6,6.9,4.1,4,1.2,0.5,0.2,0.8,0.6,0.19,0.01
87,1965,81.5,10.8,6.2,6.8,3.1,0.8,0.4,1.34,0.97,0.35,0.03
87,1970,77.8,11.6,5.1,9.5,2.8,1.1,0.5,1.61,1.14,0.44,0.03
87,1975,70.7,13.3,5.1,14.3,3.8,1.7,0.6,2.21,1.51,0.65,0.05
87,1980,62.3,18,6.4,17.6,6.3,2.1,0.9,2.82,1.91,0.84,0.06
87,1985,56.3,20.7,7.2,20.6,8,2.4,1.2,3.29,2.22,1,0.07
87,1990,48.2,24.8,8.6,23.2,8.7,3.8,1.3,3.91,2.62,1.19,0.1
88,1960,96.3,1.4,0.5,1.7,0.1,0.6,0.2,0.29,0.19,0.08,0.02
88,1965,87.6,7.2,2.4,4,0.3,1.1,0.3,0.81,0.6,0.18,0.03
88,1970,78.6,13.5,4.5,6.1,1.2,1.8,0.6,1.36,1.01,0.29,0.05
88,1975,72,16.7,5.6,8.3,1.7,2.9,1,1.85,1.34,0.43,0.08
88,1980,62.1,19.7,6.6,14.4,2.5,3.8,1.6,2.66,1.88,0.67,0.11
88,1985,49.9,26.8,9,18.2,4.7,5.1,2.1,3.51,2.47,0.89,0.14
88,1990,42.8,30.6,10.2,20.2,6,6.3,2.7,4.04,2.82,1.04,0.18
89,1960,16.1,42.7,17.9,32.1,13.4,9.1,3.7,7.25,5.72,1.27,0.26
89,1965,17.5,41.8,15.6,30.9,12.1,9.8,3.6,7.07,5.55,1.25,0.27
89,1970,12.5,35,12.4,39.4,15.5,13.2,4.9,8.1,6.11,1.63,0.36
89,1975,8.8,30.9,10.8,43.2,17.3,17.1,6.3,8.85,6.49,1.89,0.47
89,1980,7.3,26.1,9,46.4,18.7,20.3,7.8,9.41,6.74,2.11,0.56
89,1985,8.7,25.1,8.6,44.5,17.7,21.7,8.3,9.36,6.65,2.11,0.6
89,1990,9.5,23.5,8.1,44.2,16.7,22.8,8.8,9.38,6.62,2.13,0.63
90,1960,2.4,47.2,22.8,44.8,26.9,5.6,2.7,7.78,5.12,2.49,0.17
90,1965,2,42.9,20.1,48.7,12.1,6.4,3,7.59,5.19,2.21,0.19
90,1970,1.8,47.3,21.9,42.9,11.1,7.9,3.5,7.45,5.13,2.1,0.23
90,1975,1.7,43.7,20.1,44.7,12.2,9.9,4.5,7.78,5.19,2.3,0.29
90,1980,0.3,38.6,17.7,45.5,12.5,15.6,8.1,8.51,5.36,2.68,0.47
90,1985,0.3,35.3,16.2,47.8,13.2,16.6,8.8,8.75,5.41,2.83,0.51
90,1990,0.2,32.1,14.7,50,13.8,17.7,9.3,8.98,5.46,2.97,0.54
91,1960,68.3,16.7,10.5,14.1,4.2,0.8,0.4,2.33,1.71,0.6,0.02
91,1965,61.1,20.3,8.6,17.7,4.8,0.9,0.4,2.74,1.99,0.73,0.03
91,1970,52.5,26.2,9.8,20.2,6.2,1.1,0.5,3.25,2.36,0.86,0.03
91,1975,46.6,27.8,9.9,23.3,6.9,2.3,0.6,3.77,2.67,1.05,0.06
91,1980,47.9,19.8,6.9,26.4,8.9,5.8,1,4.28,2.74,1.41,0.14
91,1985,38.7,22.4,7.8,27.6,7,11.3,2.8,5.23,3.24,1.71,0.28
91,1990,32.2,24.3,8.4,30.2,9.1,13.3,5.4,5.95,3.59,1.98,0.37
92,1960,43.8,36.2,32.4,17.4,7.7,2.6,1.4,4.25,3.26,0.91,0.08
92,1965,31.9,39.5,37.6,24.7,8.7,3.9,2.2,5.39,4.03,1.24,0.12
92,1970,31,39.1,16.5,25.3,8.7,4.6,2.6,4.91,3.46,1.3,0.14
92,1975,17,36.5,16,39.8,14.5,6.6,3.8,6.6,4.36,2.03,0.21
92,1980,13.3,28.3,14,49.2,27.5,9.2,4.9,7.91,4.77,2.85,0.28
92,1985,10.9,20.9,13.7,54.7,23.4,13.5,6.2,8.68,5.13,3.15,0.39
92,1990,8,16.1,15.5,61.9,44.7,13.9,6.4,9.94,5.5,4.04,0.41
