"SHCODE","YEAR","N0F15","PRIF15","PRICF15","SECF15","SECCF15","HIGHF15","HIGHCF15","TYRF15","PYRF15","SYRF15","HYRF15"
54,1985,33,56.9,11.3,6.6,1.7,3.4,1.1,3.19,2.65,0.45,0.09
54,1990,32.7,56,11.2,6.1,1.5,5.1,1.9,3.36,2.69,0.53,0.14
56,1960,72.4,23.6,7.1,3.9,1.2,0.2,0.1,1.32,1.17,0.15,0.01
56,1965,71.2,24.5,7.1,4.2,1.3,0.3,0.1,1.39,1.21,0.17,0.01
56,1970,69.1,26,6,4.5,1.4,0.4,0.1,1.45,1.25,0.18,0.01
56,1975,66.6,26.1,5.5,6.8,2.1,0.5,0.2,1.67,1.39,0.27,0.01
56,1980,54.4,34,6.9,10.4,3.4,1.2,0.3,2.39,1.92,0.44,0.03
56,1985,52.6,35.4,7.1,10.2,3.2,1.8,0.7,2.51,2,0.46,0.05
56,1990,49.9,37.2,7.5,10.6,3.2,2.2,1,2.67,2.11,0.49,0.06
57,1960,92,3.1,0.8,4.7,2,0.2,0.2,0.66,0.41,0.24,0.01
57,1965,90.4,5.1,1.3,4.2,1.9,0.2,0.1,0.68,0.46,0.22,0.01
57,1970,82.7,12.8,1.9,4.2,1.6,0.2,0.1,0.91,0.7,0.2,0.01
57,1975,81.7,13.4,2.5,4.5,1.7,0.2,0.1,0.98,0.76,0.22,0.01
57,1980,72,18.5,3.6,9,3.6,0.4,0.2,1.68,1.23,0.44,0.01
57,1985,71.1,18.5,3.6,9.9,3.8,0.4,0.2,1.78,1.28,0.48,0.01
57,1990,68.9,19.2,3.8,11.3,4.2,0.6,0.2,1.96,1.4,0.54,0.02
58,1960,60,35.3,7.8,4.5,1.8,0.2,0.1,1.76,1.58,0.18,0.01
58,1965,56.9,38.6,10.4,4.3,1.9,0.3,0.1,1.93,1.74,0.18,0.01
58,1970,52.3,42.6,10.5,4.8,2,0.4,0.1,2.12,1.9,0.2,0.01
58,1975,45.6,46.4,11.4,7.6,4.2,0.4,0,2.55,2.21,0.33,0.01
58,1980,42.1,47.9,8.7,8.7,3,1.3,0.2,2.72,2.3,0.39,0.03
58,1985,38.6,48.9,9.4,10.1,3.7,2.3,0.7,3.06,2.5,0.5,0.06
58,1990,33.4,52.4,10.3,11.1,4.2,3.1,1.3,3.39,2.73,0.57,0.09
59,1960,13.6,79.3,25.7,7,1.2,0.2,0,2.69,2.39,0.3,0
59,1965,11.4,74.4,24.1,13.7,2.3,0.5,0.1,3.15,2.54,0.6,0.01
59,1970,3.6,82.6,26.8,13.1,2.5,0.7,0,3.35,2.74,0.59,0.01
59,1975,2.8,73.8,23.9,22.1,4.2,1.3,0.4,3.93,2.89,1.01,0.03
59,1980,2.5,68.4,22.2,27.6,6.9,1.5,0.4,4.32,2.98,1.31,0.04
59,1985,3,61.2,19.8,34,9.4,1.8,0.8,4.75,3.05,1.64,0.05
59,1990,2.5,56.9,18.4,38.3,11.8,2.3,1,5.12,3.13,1.92,0.07
60,1960,43.9,49.1,11.7,6.3,1.7,0.6,0.4,2.54,2.24,0.28,0.02
60,1965,44.1,48.1,14.3,7.1,2,0.7,0.4,2.68,2.34,0.32,0.02
60,1970,42.1,48.3,15,8.6,2.3,1,0.4,2.88,2.47,0.38,0.03
60,1975,37.6,49.3,16.8,11.6,2.7,1.4,0.5,3.32,2.76,0.51,0.04
60,1980,29.8,47.5,19.8,19.4,4.9,3.3,1.2,4.4,3.38,0.93,0.09
60,1985,25.5,46.3,16.7,23.5,6.6,4.6,1.9,4.89,3.58,1.18,0.13
60,1990,15.6,42.8,19.4,34.3,15.1,6.7,3.2,6.41,4.33,1.88,0.2
61,1960,56,36.9,7.7,5.3,2,1.8,1.2,2.12,1.76,0.29,0.06
61,1965,54.8,38.1,7.7,5.4,1.7,1.7,1,2.14,1.8,0.28,0.05
61,1970,48.3,39.8,8,8.3,2.7,3.6,2.1,2.75,2.15,0.48,0.11
61,1975,46.2,41.6,8.3,8.3,2.4,3.9,2,2.84,2.23,0.49,0.12
61,1980,44.1,41.1,8.2,9.9,2,4.9,2.1,3.09,2.37,0.58,0.14
61,1985,40.2,43.3,8.6,10.7,2.6,5.8,2.7,3.38,2.55,0.66,0.17
61,1990,36.5,44.6,8.9,12.8,3,6.1,3.2,3.68,2.74,0.75,0.19
62,1960,23.2,56.2,28.3,18.9,4.6,1.7,0.8,4.63,3.77,0.81,0.05
62,1965,22.2,55.4,17.6,19.9,6.2,2.4,1,4.53,3.53,0.93,0.07
62,1970,20.9,55.1,18.4,21,7,3,1.4,4.75,3.64,1.02,0.09
62,1975,20.9,51.9,20,22.1,7.1,5.1,1.7,5.1,3.79,1.18,0.14
