"SHCODE","YEA","N0F25","PRIF25","PRICF25","SECF25","SECCF25","HIGHF25","HIGHCF25","TYRF25","PYRF25","SYRF25","HYRF25"
73,1970,16.2,75.7,24.5,7.8,3.3,0.4,0.3,3.83,3.5,0.32,0.01
73,1975,13.8,72.1,23.4,13.6,5.8,0.5,0.3,4.28,3.71,0.55,0.02
73,1980,10.6,73,23.7,15.5,6.6,0.9,0.6,4.56,3.88,0.64,0.03
73,1985,11.2,64.5,20.9,23.2,9.9,1.2,0.9,5.02,4.02,0.95,0.04
73,1990,12.3,56.1,18.2,30.2,12.9,1.4,1,5.41,4.13,1.24,0.05
74,1960,33.8,60.7,16.4,5,1.9,0.5,0.4,2.9,2.64,0.24,0.02
74,1965,32.6,62.3,15.5,4.4,1.8,0.7,0.6,2.89,2.64,0.23,0.03
74,1970,25.4,64.5,10.6,8.9,3.8,1.2,1,3.36,2.86,0.45,0.04
74,1975,24.1,65.8,18.3,8.5,3.9,1.7,1.4,3.67,3.13,0.47,0.06
74,1980,17.9,64.8,15.3,14.8,7.2,2.5,2.1,4.34,3.44,0.81,0.09
74,1985,17,65.9,14.1,13.4,6.7,3.6,3,4.37,3.42,0.82,0.13
74,1990,17,65,13.3,13.3,6.8,4.6,3.9,4.48,3.43,0.88,0.17
75,1960,56.3,34.4,9.2,7.9,3.5,1.4,1,2.29,1.87,0.38,0.05
75,1965,56.5,34.9,10.2,7,3.4,1.6,1.1,2.28,1.87,0.36,0.05
75,1970,47.5,38.7,13.7,10.9,6,3,2.1,3.1,2.41,0.6,0.1
75,1975,48.5,37.3,13.3,10.4,5.4,3.9,2.7,3.12,2.38,0.61,0.13
75,1980,34.2,39.9,15.5,18.3,9.7,7.7,5.4,4.61,3.22,1.13,0.26
75,1985,33,39.3,10.8,18.9,10,8.9,6.2,4.69,3.17,1.21,0.3
75,1990,30.8,37.5,8.6,21.5,11.4,10.3,7.2,5.03,3.29,1.39,0.35
77,1960,14.6,64.2,19.7,14.6,6.3,6.5,4.6,5.11,3.79,1.1,0.22
77,1965,14.5,70.9,27.3,8.1,3.5,6.5,4.5,4.83,3.82,0.78,0.22
77,1970,13.9,64.3,25.4,15.3,6.5,6.6,4.6,5.36,4,1.13,0.22
77,1975,10.4,66.1,31.2,16.6,7.1,6.8,4.7,5.77,4.32,1.21,0.23
77,1980,7,66.4,20.4,19,8.2,7.6,5.3,5.84,4.2,1.38,0.26
77,1985,3.6,57.5,13.9,30,12.9,8.9,6.2,6.77,4.48,1.99,0.3
77,1990,4.6,55,11.9,29.3,12.6,11,7.7,6.89,4.43,2.09,0.37
78,1960,56.2,39.4,13.5,4,2,0.5,0.3,2.06,1.86,0.19,0.02
78,1965,53.8,41.9,10.7,3.5,1.8,0.9,0.6,2.06,1.84,0.19,0.03
78,1970,50.6,37.6,8.3,10.4,5.4,1.3,0.9,2.61,2.08,0.48,0.04
78,1975,41.7,45,9.4,10.3,5.4,2.9,2,3.09,2.42,0.56,0.1
78,1980,26.4,46.2,9.4,21.9,11.5,5.5,3.8,4.66,3.31,1.16,0.19
78,1985,23.8,46.8,9.4,21.4,11.2,8,5.5,4.98,3.45,1.26,0.27
78,1990,22.9,53.8,10.8,12.1,6.4,11.3,7.9,4.78,3.34,1.06,0.38
79,1960,97.3,1,0.3,0.2,0.1,1.5,1,0.29,0.14,0.1,0.05
79,1965,97.8,0.3,0.1,0.7,0.2,1.2,0.8,0.26,0.13,0.1,0.04
79,1970,98.1,0.4,0.1,0.6,0.2,1,0.6,0.22,0.11,0.08,0.03
79,1975,98.1,0.4,0.2,0.6,0.3,0.8,0.5,0.2,0.1,0.08,0.03
79,1980,97.6,1.5,0.1,0.3,0.1,0.6,0.4,0.17,0.1,0.05,0.02
79,1985,96.7,2.2,0.5,0.4,0.1,0.6,0.4,0.22,0.14,0.05,0.02
79,1990,96,2.5,0.7,0.9,0.3,0.6,0.4,0.28,0.19,0.07,0.02
80,1960,88.6,5,2.7,4.2,1.9,2.2,1,0.89,0.61,0.21,0.06
80,1965,88.3,5.4,3.5,4.5,2.1,1.8,0.8,0.9,0.64,0.2,0.05
80,1970,86.2,6,2.4,5.6,2.6,2.2,1,1.04,0.72,0.25,0.06
80,1975,81.6,8.9,3.3,7.3,3.4,2.2,1,1.3,0.93,0.3,0.06
80,1980,70.9,13.5,4.8,13.2,6.1,2.4,1.1,2.04,1.49,0.48,0.07
80,1985,61.5,17,5.9,18.5,8.5,3.1,1.4,2.73,1.98,0.66,0.09
80,1990,46,18.3,6.3,25.3,11.7,10.4,4.6,4.34,2.88,1.16,0.3
81,1960,96.8,1.8,0.5,1.4,0.4,0,0,0.17,0.13,0.05,0
81,1965,94.2,4.6,1.3,1.2,0.4,0,0,0.25,0.21,0.04,0
81,1970,94.3,4.6,1.3,1.1,0.4,0,0,0.24,0.2,0.04,0
81,1975,93,5.4,1.6,1.4,0.4,0.1,0.1,0.3,0.25,0.05,0
81,1980,84,11.5,3.3,4.1,0.8,0.3,0.2,0.74,0.59,0.14,0.01
81,1985,80.5,13.6,4,5.4,1.7,0.4,0.3,0.95,0.73,0.2,0.01
81,1990,74.7,19.1,5.6,5.3,1.7,0.8,0.5,1.16,0.92,0.21,0.03
82,1960,82.7,12.9,3.7,4.3,1.4,0.1,0.1,0.66,0.51,0.15,0
82,1965,83.8,11.9,3.5,4,1.3,0.2,0.1,0.63,0.48,0.14,0.01
82,1970,83.5,12.2,3.5,4,1.3,0.3,0.2,0.65,0.49,0.15,0.01
82,1975,82,12.9,3.8,5.1,1.1,0,0,0.69,0.54,0.16,0
82,1980,77.2,16.5,4.8,5.8,1.8,0.5,0.4,0.92,0.68,0.22,0.02
82,1985,60.4,28.9,8.4,9.2,2.9,1.5,1,1.6,1.17,0.38,0.05
82,1990,55.7,32.9,9.6,9.2,2.9,2.2,1.5,1.79,1.3,0.41,0.07
83,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.6,0.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.02
83,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.6,0.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.02
83,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.5,0.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.02
83,1975,70.7,16.3,6.6,12.5,5,0.5,0.4,2.04,1.47,0.56,0.02
83,1980,62.4,23.5,9.5,13.6,3.7,0.5,0.4,2.4,1.83,0.55,0.02
83,1985,56.8,25.2,10.2,17.5,7,0.5,0.4,2.92,2.14,0.77,0.02
83,1990,50.2,28.5,11.5,20.7,8.3,0.6,0.5,3.41,2.48,0.91,0.02
84,1960,55.1,30.9,10.6,11.2,5.1,2.8,1.3,3.02,2.08,0.85,0.08
84,1965,56.6,29,13.2,11.4,6.1,2.9,1.4,3.1,2.12,0.89,0.09
84,1970,51.6,32.3,15.3,14.7,8.7,1.4,0.7,3.44,2.39,1.01,0.04
84,1975,44.7,34.8,16.5,18.5,11.8,2,0.9,4.13,2.77,1.3,0.06
84,1980,35.9,34.8,19.5,24.3,14.4,5,2.3,5.39,3.39,1.85,0.15
84,1985,28.2,33.3,17.9,32.7,18.3,5.8,2.7,6.42,3.85,2.41,0.17
84,1990,22.8,29.3,15.5,39.6,25,8.3,3.9,7.52,4.22,3.06,0.24
85,1960,90,9.4,2.7,0.6,0.2,0,0,0.56,0.53,0.02,0
85,1965,89.8,8.9,2.9,1.1,0.4,0.1,0.1,0.63,0.57,0.05,0
85,1970,86.6,11.7,3.9,1.3,0.4,0.3,0.2,0.83,0.75,0.07,0.01
85,1975,85.4,12.2,4.1,1.7,0.5,0.6,0.4,0.96,0.84,0.1,0.02
85,1980,85.2,7.2,2.4,6.6,2.1,1.1,0.7,1.36,1,0.33,0.04
85,1985,79.9,11.6,3.9,6.8,2.2,1.8,1.2,1.75,1.31,0.38,0.06
85,1990,75,14.8,5.1,7.8,2.5,2.4,1.6,2.15,1.61,0.45,0.08
86,1960,87.4,11.7,3.5,0.8,0.2,0,0,0.53,0.5,0.03,0
86,1965,83.4,15.7,6.2,0.8,0.3,0.1,0,0.75,0.71,0.04,0
86,1970,69.7,27.3,11,2.9,1.2,0.2,0.1,1.48,1.34,0.14,0.01
86,1975,66.9,29.6,10.9,3.2,1.5,0.4,0.2,1.61,1.43,0.16,0.01
86,1980,53.9,39.5,12.9,6.3,3,0.4,0.2,2.29,1.97,0.3,0.01
86,1985,46,46.1,20.5,7.1,3.7,0.8,0.4,2.87,2.47,0.37,0.02
86,1990,43.6,46.4,22.9,8.6,4.7,1.4,0.7,3.21,2.68,0.48,0.04
