"SHCODE","COUNTRY","M_64_13","M_64_FS","M_8283_13","M_8283_FS","M_88_13","M_9091_10","M_9091_14","M_9398_13","S_7072_10","S_7072_14","S_7072_FS","S_84_10","S_84_13","S_84_FS","S_88_13","S_9091_9","S_9091_13","S_9398_13","R_7072_13","R_9091_9","R_9091_13"
83,"China",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,80.2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,67.2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
84,"Hong Kong",1.79769313486232e+308,1.79769313486232e+308,49.9,73,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,56.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,46.7,54.7,62.9,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,49.5,1.79769313486232e+308,51.7,53.5
85,"India",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,21.3,9.5,10,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,53,1.79769313486232e+308,1.79769313486232e+308
86,"Indonesia",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,39.4,1.79769313486232e+308
87,"Iran, I.R. of",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,40.1,10.3,9.8,17,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,43.6,39,1.79769313486232e+308,1.79769313486232e+308
89,"Israel",46.1,52.8,45.6,46.5,1.79769313486232e+308,64.4,63.1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,61.2,69.7,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
90,"Japan",46,45.5,63.5,68,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,57.1,54.3,39,1.79769313486232e+308,64.2,67.3,51.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,53.1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
91,"Jordan",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,40.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,56.6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
92,"Korea",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,56.8,74.8,73.4,57.7,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,64.2,60.3,1.79769313486232e+308,55,67.9,77.5,53.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
98,"Philippines",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,39.6,38.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,43
