"SHCODE","YEAR","N0M15","PRIM15","PRICM15","SECM15","SECCM15","HIGHM15","HIGHCM15","TYRM15","PYRM15","SYRM15","HYRM15"
1,1960,76,20.4,5.9,3.1,0.6,0.4,0.3,1.14,1,0.12,0.01
1,1965,82.6,11.3,3.6,5.2,1.8,0.7,0.3,1.06,0.8,0.24,0.02
1,1970,58.2,30.9,10.4,10.2,3.6,0.6,0,2.32,1.88,0.42,0.01
1,1975,51.2,35.7,12.2,11.9,3.8,1.3,0.3,2.78,2.23,0.52,0.03
1,1980,42.4,39.8,13.6,15.1,4.3,2.6,0.7,3.44,2.67,0.7,0.07
1,1985,34.7,39.9,13.7,21.1,5.6,4.3,1.4,4.25,3.13,1,0.11
1,1990,28.7,38.7,13.3,26.2,8,6.5,2.3,5.07,3.52,1.38,0.18
3,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.6,0,0.6,0.5,1.79769313486232e+308,1.79769313486232e+308,0.05,0.02
3,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.2,0.1,0.5,0.4,1.79769313486232e+308,1.79769313486232e+308,0.07,0.02
3,1970,87.8,9.8,2.2,2.3,0.3,0,0,0.65,0.58,0.08,0
3,1975,83.3,12.3,2.7,4.2,0.6,0.1,0,0.98,0.82,0.15,0
3,1980,76.5,15.1,3.2,7.9,2.5,0.5,0.1,1.58,1.22,0.34,0.01
3,1985,67.5,22.2,4.7,9.1,1.7,1.1,0.3,2.08,1.66,0.39,0.03
3,1990,60.5,28,5.8,9.8,1.7,1.7,0.7,2.48,1.99,0.45,0.05
4,1960,71.3,24.6,14.3,3.9,0.9,0.3,0.2,1.81,1.65,0.15,0.01
4,1965,69.9,26.2,11.7,3.6,0.8,0.2,0.2,1.73,1.59,0.13,0.01
4,1970,66,27.8,7.1,5.3,1.1,0.7,0.6,1.89,1.65,0.22,0.03
4,1975,61.6,31.5,16.1,6.2,1.4,0.7,0.4,2.42,2.15,0.25,0.02
4,1980,50.3,39.4,14.3,9.9,3,0.6,0.3,3.02,2.62,0.39,0.02
4,1985,46.5,41.3,17.1,11.2,2.1,1.1,0.4,3.37,2.9,0.43,0.03
4,1990,40.2,43.5,19.6,14.8,2.1,1.5,0.7,3.95,3.35,0.56,0.04
7,1960,58.3,27.4,5.8,14.5,3.8,0,0,2.56,1.87,0.7,0
7,1965,55.5,31.5,6.6,13,3.3,0.1,0,2.56,1.93,0.63,0
7,1970,50.4,37.4,7.7,12,2.9,0.2,0.1,2.68,2.09,0.58,0.01
7,1975,46.3,41,8.3,12.3,2.6,0.5,0.1,2.86,2.25,0.6,0.01
7,1980,42.4,43.8,8.7,13.1,2.6,0.8,0.3,3.09,2.41,0.66,0.02
7,1985,37.8,46.9,9.2,13.9,2.7,1.3,0.4,3.37,2.6,0.73,0.04
7,1990,33.5,49.4,9.6,16,3,1.1,0.7,3.64,2.8,0.81,0.04
9,1960,85.8,7.5,1.7,6.5,1.7,0.3,0.2,1.02,0.68,0.33,0.01
9,1965,82.8,11,2.5,6,1.5,0.2,0.2,1.08,0.77,0.3,0.01
9,1970,76.7,17.1,3.7,6,1.4,0.2,0.1,1.3,1,0.29,0.01
9,1975,68.7,24.5,5.3,6.6,1.3,0.3,0.1,1.64,1.3,0.32,0.01
9,1980,63.4,28.2,5.9,7.9,1.4,0.5,0.2,1.93,1.53,0.39,0.01
9,1985,57.1,33.7,7,8.5,1.7,0.7,0.3,2.23,1.77,0.44,0.02
9,1990,51.1,39.1,8,8.8,1.8,1,0.5,2.5,2,0.47,0.03
12,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3.8,2.9,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.13
12,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3.3,2.4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.11
12,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3.3,2.2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.11
12,1975,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3.2,1.9,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.1
12,1980,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2.8,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.08
12,1985,30.3,24.2,6.6,41.4,8.8,4.2,1.8,5.99,3.66,2.21,0.12
12,1990,33.5,23.1,6.3,38.7,8.8,4.8,2.7,5.79,3.49,2.15,0.15
13,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.2,0.2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.03
13,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2.3,0.5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.06
13,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3.2,0.7,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.08
13,1975,70.5,15.1,4.7,10.5,1,4.1,0.7,2.16,1.47,0.59,0.1
13,1980,60.3,18.9,5.9,13.5,2.4,7.3,3,3.11,1.99,0.91,0.21
13,1985,42.4,21.8,6.8,30.2,10.4,5.6,0.6,4.69,3.01,1.56,0.12
13,1990,37.2,21.5,6.6,32.9,10.9,8.5,4.3,5.4,3.32,1.82,0.25
16,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,6.9,1.6,0.4,0.3,1.79769313486232e+308,1.79769313486232e+308,0.4,0.01
16,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,7.3,1.5,0.3,0.3,1.79769313486232e+308,1.79769313486232e+308,0.42,0.01
16,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,7.7,1.7,0.3,0.2,1.79769313486232e+308,1.79769313486232e+308,0.44,0.01
16,1975,88.5,3.1,1.5,8.2,1.8,0.2,0.2,1.12,0.65,0.46,0.01
16,1980,85.5,5.2,1.8,9.2,1.6,0.2,0.2,1.28,0.77,0.51,0.01
16,1985,76.8,11.3,3.8,11.7,1.5,0.2,0.1,1.8,1.17,0.63,0.01
16,1990,66.4,19.8,6.7,13.7,1.7,0.1,0.1,2.36,1.63,0.73,0.01
17,1960,69.4,27,5.8,2.8,0.5,1,0.8,1.46,1.21,0.21,0.04
17,1965,67.3,26.7,5.6,5,0.5,1,0.7,1.66,1.33,0.3,0.03
17,1970,53.5,7.8,1.4,38.1,7.6,0.6,0.3,4.49,2.6,1.88,0.02
17,1975,48.1,12.3,2.3,38.8,5.9,0.8,0.4,4.68,2.81,1.85,0.02
17,1980,42.3,17.5,3.2,39.2,5.1,1,0.5,4.91,3.03,1.85,0.03
17,1985,37.5,20.5,3.7,40.8,4.6,1.2,0.6,5.19,3.24,1.91,0.04
17,1990,35.8,21.8,3.9,41,4.3,1.3,0.7,5.27,3.31,1.92,0.04
19,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.1,0,0.2,0.2,1.79769313486232e+308,1.79769313486232e+308,0.02,0.01
19,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.1,0,0.2,0.1,1.79769313486232e+308,1.79769313486232e+308,0.02,0.01
19,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.1,0,0.1,0.1,1.79769313486232e+308,1.79769313486232e+308,0.02,0.01
19,1975,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.4,0.1,0.1,0.1,1.79769313486232e+308,1.79769313486232e+308,0.03,0
19,1980,91.1,8,0.5,0.8,0.2,0.1,0.1,0.26,0.21,0.05,0
19,1985,79.3,18.5,1.9,2.1,0.5,0.1,0.1,0.62,0.5,0.12,0
19,1990,70.5,27.6,2.8,1.8,0.4,0.1,0.1,0.79,0.68,0.1,0
21,1960,59.3,37,14,3.3,0.6,0.4,0.3,2.22,2.04,0.17,0.01
21,1965,56.3,39.9,16.1,3.4,0.4,0.4,0.2,2.4,2.22,0.17,0.01
21,1970,53.1,38.7,19.7,7.6,0.5,0.5,0.2,2.98,2.62,0.35,0.02
21,1975,50.5,40.1,15.7,8.7,0.6,0.6,0.3,3.03,2.61,0.4,0.02
21,1980,33.1,47,17.5,19.1,1.6,0.7,0.4,4.51,3.65,0.84,0.02
21,1985,28.6,58.6,21.6,11.9,0.8,0.9,0.5,4.28,3.71,0.55,0.03
21,1990,27.9,56.1,21.4,14.7,1,1.3,0.6,4.55,3.83,0.68,0.04
22,1960,40.3,57.6,14.9,2,0.5,0.1,0,2.76,2.68,0.07,0
22,1965,43.3,54.4,12.5,2.1,0.4,0.2,0.1,2.59,2.5,0.08,0
22,1970,44.5,53,7.9,2.3,0.5,0.2,0.1,2.41,2.31,0.09,0.01
22,1975,36.4,53.3,9,10.4,2.5,0.1,0,2.95,2.58,0.37,0
22,1980,38.4,51.2,1.3,10.1,2.3,0.2,0,2.93,2.56,0.36,0.01
22,1985,39.9,49.9,3.1,9.8,2.2,0.4,0.2,2.93,2.56,0.36,0.01
22,1990,39.7,48.3,3.5,11.5,2.1,0.5,0.3,3.08,2.65,0.41,0.02
23,1960,83.5,12.3,6.1,2.9,0.8,1.3,0.8,1.03,0.8,0.19,0.04
23,1965,79.6,15.8,5.9,3.4,0.8,1.2,0.8,1.16,0.92,0.2,0.04
23,1970,74.4,19.4,7.2,5,1.1,1.2,0.7,1.46,1.17,0.25,0.04
23,1975,70.4,12,3.4,15.7,6.7,1.8,1,2.35,1.51,0.78,0.06
23,1980,62.3,17.9,5.4,17.8,4.8,2,1.1,2.75,1.89,0.8,0.06
23,1985,53.8,26.4,8.1,17.6,4.3,2.2,1.2,3.09,2.23,0.79,0.07
23,1990,53.8,27.7,8.4,15.8,3.4,2.7,1.3,3.02,2.2,0.74,0.08
25,1960,52,46.6,17.9,1.3,0.3,0,0,2.73,2.69,0.04,0
25,1965,48.8,49.8,18,1.3,0.3,0,0,2.86,2.82,0.04,0
25,1970,50.8,47.7,14.6,1.3,0.3,0.1,0,2.66,2.61,0.05,0
25,1975,35.8,59.3,9.8,4.7,1.8,0.3,0.1,3.34,3.16,0.18,0.01
25,1980,38.9,56.5,21.6,4.2,1.5,0.4,0.2,3.66,3.49,0.16,0.01
25,1985,33.9,58.1,14.3,7.5,3.2,0.6,0.5,3.87,3.55,0.3,0.02
25,1990,36.9,56.2,8.3,6.3,2.1,0.7,0.5,3.41,3.14,0.24,0.02
26,1960,92.2,7.4,2.7,0.1,0,0.3,0.3,0.52,0.49,0.01,0.01
26,1965,91.6,8,2.7,0.1,0,0.3,0.2,0.54,0.52,0.01,0.01
26,1970,88.3,11.1,3.3,0.1,0,0.3,0.2,0.7,0.68,0.01,0.01
26,1975,86.8,11.2,3.3,1.6,0.2,0.4,0.2,0.88,0.83,0.04,0.01
26,1980,84.5,12.2,3.2,2.9,0.3,0.4,0.3,1.06,0.99,0.06,0.01
26,1985,83.1,13,3.8,3.3,0.5,0.6,0.3,1.2,1.11,0.08,0.02
26,1990,82.6,12.8,4,3.8,0.6,0.7,0.4,1.27,1.16,0.09,0.02
28,1960,28.7,51.7,12.7,18.5,3.5,1.2,0.5,3.76,3.11,0.61,0.04
28,1965,27,50.5,23.7,21.6,4.3,1,0.5,4.31,3.58,0.7,0.03
28,1970,16.6,55.6,23.2,26.2,6.5,1.5,0.3,4.95,4.02,0.89,0.04
28,1975,19.7,50.6,25.2,28,7.9,1.6,0.5,5.07,4.05,0.98,0.04
28,1980,10.3,50.6,23.5,35.3,12.1,4.1,1.8,6.09,4.58,1.39,0.12
28,1985,9.9,50.3,18.7,36.2,17,3.6,1.6,6.07,4.46,1.51,0.1
28,1990,9.4,47.1,5.3,41.2,31.8,2.3,0.9,6.19,4.18,1.94,0.06
