"SHCODE","YEAR","N0M25","PRIM25","PRICM25","SECM25","SECCM25","HIGHM25","HIGHCM25","TYRM25","PYRM25","SYRM25","HYRM25"
77,1980,7.6,66.2,20.5,18.8,2.6,7.4,4.9,5.67,4.17,1.25,0.25
77,1985,5.9,58.6,15.8,28.3,3.7,7.2,4.8,6.24,4.36,1.64,0.24
77,1990,6.6,57.4,14.6,23.9,2.4,12.1,8.1,6.46,4.32,1.73,0.4
78,1960,42.2,48.7,17.8,6.6,2.4,2.5,1.7,2.99,2.54,0.37,0.08
78,1965,45.1,45.7,13.3,6,2.2,3.1,2.1,2.8,2.32,0.38,0.1
78,1970,43.6,40.8,10.6,11.8,3.8,3.9,2.6,3.24,2.48,0.62,0.13
78,1975,40.6,43.1,10.9,10.3,3.1,6.1,4.1,3.49,2.6,0.68,0.2
78,1980,20.6,48.2,11.9,22.7,6.9,8.5,5.7,5.2,3.67,1.24,0.28
78,1985,23,45.4,11.2,19.6,5.6,12,8.1,5.3,3.59,1.3,0.4
78,1990,19.5,56.2,13.7,11.9,3.5,12.3,8.2,5,3.55,1.04,0.41
79,1960,80,7.5,2.6,7.8,2.9,4.7,3.3,1.82,1.05,0.6,0.16
79,1965,82.7,7.6,2.8,5.9,2.2,3.7,2.6,1.49,0.89,0.47,0.13
79,1970,84.6,7.6,3.2,4.8,1.8,3,2.2,1.28,0.79,0.38,0.1
79,1975,85.2,8.2,4.9,4.1,2.2,2.6,1.8,1.22,0.79,0.34,0.09
79,1980,80.8,11.8,0.5,1.9,0.7,5.3,3.7,1.37,0.8,0.39,0.18
79,1985,79.5,12.6,3.1,3.2,1.2,4.6,3.3,1.51,0.94,0.41,0.16
79,1990,76.8,14.2,4.7,4.9,1.9,4.1,2.9,1.7,1.11,0.45,0.14
80,1960,77.2,11.4,6.2,7.3,3.7,4.1,2,1.72,1.21,0.38,0.12
80,1965,76.3,12.4,8.5,7.8,3.9,3.5,1.7,1.79,1.31,0.38,0.11
80,1970,70.8,12.5,5.6,11.9,5.9,5,2.4,2.26,1.56,0.56,0.15
80,1975,62.5,14,5.4,19.6,9.7,4,1.9,2.85,1.99,0.74,0.12
80,1980,61.6,11.3,4.1,23.8,11.8,3.2,1.6,3.02,2.08,0.84,0.1
80,1985,53.2,18.4,6.4,24.9,12.4,3.6,1.7,3.44,2.45,0.89,0.11
80,1990,34.6,30.2,10.4,25,12.5,10.2,5,4.8,3.33,1.16,0.3
81,1960,79,10,2.7,9.9,3.8,1.1,0.8,1.3,0.87,0.39,0.04
81,1965,73,16.4,4.4,9.6,3.6,1.1,0.8,1.48,1.05,0.39,0.04
81,1970,77.7,10.9,2.9,10.2,3.9,1.2,0.8,1.37,0.92,0.41,0.04
81,1975,72.7,14.1,3.8,11.8,4.5,1.6,1.1,1.66,1.12,0.49,0.05
81,1980,58,21.5,5.7,18.5,7.3,2.2,1.6,2.54,1.71,0.76,0.08
81,1985,53.7,21.4,5.6,22.2,8.6,2.8,2,2.93,1.93,0.91,0.1
81,1990,47.3,26.9,7.1,21.9,8.5,3.9,2.8,3.23,2.14,0.95,0.13
82,1960,76.4,10.3,2.6,12.6,5,0.7,0.5,1.29,0.79,0.48,0.03
82,1965,78.1,9.7,2.4,11.4,4.5,0.8,0.6,1.2,0.73,0.44,0.03
82,1970,72.9,15.4,4,10.7,4.3,1,0.7,1.31,0.86,0.42,0.03
82,1975,74.5,11.9,3,13.2,3.1,0.4,0.3,1.29,0.84,0.43,0.01
82,1980,68.9,16.6,4.2,13.9,5.6,0.6,0.4,1.53,1,0.52,0.02
82,1985,51.2,26.7,6.8,20,8.1,2.3,1.7,2.46,1.56,0.82,0.08
82,1990,47.9,30.7,7.8,18.4,7.4,3,2.2,2.53,1.63,0.8,0.11
83,1960,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.5,1.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.06
83,1965,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.5,1.3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.05
83,1970,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.4,1.2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0.05
83,1975,26.7,41.8,15.4,30.1,11.7,1.4,1.2,5,3.6,1.34,0.05
83,1980,28.2,40.7,14.8,29.4,7.4,1.5,1.3,4.76,3.52,1.19,0.05
83,1985,29.3,35.9,12.9,33.3,13,1.6,1.4,5.1,3.56,1.48,0.06
83,1990,9.5,39.8,14.3,47.4,18.5,3.3,2.9,6.96,4.66,2.18,0.12
84,1960,6.6,63.4,27.9,23.4,11,6.7,4.1,6.62,4.54,1.86,0.22
84,1965,14.9,51.5,27.9,25.7,13.7,8,4.9,6.78,4.4,2.12,0.26
84,1970,14.5,50.8,28.1,30.1,18,4.8,2.9,6.82,4.46,2.21,0.16
84,1975,13,49.5,28.3,32,19.1,5.5,3.4,7.13,4.59,2.37,0.18
84,1980,10.2,44.4,26.4,36.2,20,9,5.6,7.97,4.83,2.84,0.29
84,1985,9,37.8,20.3,43.7,22.8,9.5,6,8.55,4.93,3.3,0.31
84,1990,9,31.2,16,46.8,26,12.8,8.1,9.17,4.99,3.75,0.42
85,1960,62.1,33.9,9.6,4.4,1.7,0,0,2.27,2.09,0.18,0
85,1965,63,32.7,11.2,4,1.6,0.3,0.2,2.29,2.1,0.18,0.01
85,1970,58.6,33.1,12.2,6.4,2.5,1.9,1.3,2.91,2.47,0.38,0.06
85,1975,53,34.2,12.9,8.9,3.4,4,2.8,3.66,2.91,0.61,0.14
85,1980,60.5,15.2,5.8,20.4,8,3.8,2.7,3.99,2.78,1.08,0.13
85,1985,54.9,20.3,7.9,19.3,7.6,5.4,3.9,4.42,3.1,1.13,0.19
85,1990,49.3,25,9.7,18.9,7.5,6.7,4.8,4.87,3.44,1.2,0.23
86,1960,63.5,33.6,11.7,3,0.8,0.2,0.1,1.68,1.55,0.13,0.01
86,1965,62.1,33.9,15.3,3.4,1.5,0.7,0.3,1.93,1.72,0.19,0.02
86,1970,40.4,51.3,23.2,7.4,3.4,0.8,0.4,3.12,2.73,0.37,0.02
86,1975,38,52.6,22,7.9,3.9,1.4,0.6,3.28,2.8,0.44,0.04
86,1980,27.7,57.7,20.9,13.1,6.9,1.2,0.5,3.92,3.22,0.67,0.03
86,1985,19.3,66.5,29.9,13.6,7.1,0.5,0.2,4.4,3.74,0.65,0.01
86,1990,20,62.8,30.2,15.1,7.8,2.1,0.9,4.7,3.82,0.82,0.06
87,1960,86,10.4,6,2.8,1.4,0.9,0.6,0.92,0.71,0.18,0.03
87,1965,83,10.6,6.3,4.8,2.6,1.6,1.1,1.26,0.89,0.32,0.05
87,1970,79.9,12.3,5.4,6.1,3.4,1.8,1.2,1.45,1,0.39,0.06
87,1975,73.8,11.3,4.3,12.4,7.1,2.4,1.7,2.17,1.36,0.73,0.08
87,1980,70,11.7,4.2,14.9,8.7,3.3,2.3,2.59,1.57,0.91,0.11
87,1985,60.5,14.4,5,21.3,12.5,3.8,2.6,3.46,2.09,1.24,0.13
87,1990,49.5,20.9,7.2,25.3,15.1,4.4,3,4.24,2.62,1.47,0.15
88,1960,96.4,1,0.3,1.4,0.7,1.2,0.8,0.35,0.19,0.11,0.04
88,1965,91.8,4,1.3,2.8,1.4,1.4,1,0.64,0.41,0.18,0.05
88,1970,85.1,8.5,2.8,3.9,1.9,2.4,1.6,1.07,0.71,0.27,0.08
88,1975,73.9,16,5.1,6.5,3.2,3.5,2.4,1.79,1.24,0.44,0.12
88,1980,62.6,24,7.6,8,4,5.3,3.7,2.52,1.75,0.59,0.18
88,1985,54.6,27.7,8.8,10.8,5.4,6.8,4.7,3.16,2.15,0.77,0.23
88,1990,42.7,30.2,9.5,17.9,8.9,9.2,6.3,4.3,2.82,1.17,0.31
89,1960,12,45.3,20.7,29.9,15.2,12.8,6.5,7.86,6.06,1.42,0.39
89,1965,14.4,45.8,16.9,27,13.8,12.8,6.5,7.4,5.69,1.33,0.38
89,1970,11.5,38.3,12.7,33.1,16.9,17.3,8.9,8.28,6.07,1.69,0.52
89,1975,7.3,45.3,14.4,29.4,15.1,18.1,9.4,8.35,6.18,1.61,0.55
89,1980,5.1,31,9.7,38.5,19.7,25.4,13.4,9.7,6.74,2.18,0.78
89,1985,7.7,30.3,9.4,36.4,18.7,25.6,13.6,9.45,6.55,2.12,0.78
89,1990,9.6,28.4,8.8,34.8,17.9,27.1,14.4,9.41,6.44,2.14,0.83
90,1960,1.3,57.7,28,30.4,8.2,10.7,7.5,7.2,5.04,1.8,0.36
90,1965,1.3,50.9,24.1,36.3,10,11.5,8,7.58,5.12,2.08,0.39
90,1970,0.4,57.9,27.1,31.6,8.8,10.1,6.7,7.2,5.05,1.81,0.34
90,1975,0.3,51,23.8,36.1,10.1,12.5,8.7,7.72,5.16,2.14,0.42
90,1980,0.3,42.9,20,37.2,10.5,19.6,15.5,8.6,5.3,2.6,0.7
90,1985,0.4,39.4,18.4,38.4,10.8,21.9,17.3,8.92,5.35,2.79,0.78
90,1990,0,32.5,15.1,41.5,11.8,26.2,22,9.62,5.49,3.17,0.96
91,1960,68.4,20.5,11,9.5,3.8,1.3,0.9,2.11,1.59,0.47,0.04
91,1965,61.8,23.9,9.9,13.1,5.4,1.2,0.8,2.53,1.87,0.63,0.04
91,1970,50.4,30.9,11.4,17.2,7.4,1.5,1,3.26,2.39,0.83,0.05
91,1975,43.2,31.5,11.1,23.4,10.7,1.8,1.2,3.98,2.79,1.13,0.06
91,1980,53.6,19,6.6,17.5,8.7,9.9,6.9,4.13,2.41,1.38,0.34
91,1985,42.6,22.8,7.9,20.5,10.7,14.1,10.5,5.27,2.99,1.78,0.49
91,1990,36.3,18.8,6.5,24,13.2,21,16.2,6.57,3.45,2.37,0.74
92,1960,43,34.6,30.7,17.4,9.4,5,3.7,4.58,3.3,1.1,0.17
92,1965,31.3,36.1,34.4,25.8,11.9,6.6,4.9,5.81,4.06,1.53,0.23
92,1970,24,36.3,16.6,30.1,14.6,9.7,7.2,6.23,3.97,1.92,0.34
92,1975,16.5,35.1,16.7,37,19.2,11.4,8.4,7.22,4.46,2.37,0.4
92,1980,12.2,29.4,15.2,44.5,24.7,14,10.4,8.26,4.85,2.92,0.49
92,1985,8.6,22.9,15,50.6,30.1,17.9,13.3,9.36,5.24,3.49,0.62
92,1990,5.5,17,16.4,57.6,40.2,19.9,14.7,10.47,5.65,4.13,0.69
93,1960,29.1,47.6,20.7,17.3,7.5,6,4,3.97,2.3,1.47,0.2
93,1965,37.3,45.6,17,12.9,6,4.2,2.9,3.17,1.94,1.09,0.14
93,1970,40,39,7.4,15.2,7.7,5.8,4,3.34,1.77,1.38,0.19
93,1975,63.2,10.1,2.8,18.4,10.5,8.3,5.7,3.43,1.33,1.82,0.28
93,1980,55.3,8.3,2.6,25,14.9,11.6,8,4.6,1.68,2.52,0.39
93,1985,50.5,7.4,2.5,28.6,17.9,13.3,9.3,5.25,1.87,2.93,0.45
93,1990,47.2,6,2,34,21.3,12.8,9.1,5.71,2.03,3.24,0.44
94,1960,36.4,49.6,18.7,11.4,3.8,2.4,2.1,3.67,2.88,0.7,0.09
94,1965,29.3,56.4,22,12,5.4,2.3,1.9,4.06,3.21,0.77,0.08
94,1970,23.9,59.7,24.9,14.1,6.7,2.4,2,4.5,3.52,0.89,0.09
94,1975,17.1,63,30.5,17.6,9.2,2.4,2,5.2,4,1.11,0.09
94,1980,17.7,50.6,35.3,29.6,16.6,2.1,1.8,6.32,4.48,1.76,0.08
94,1985,15.7,49.9,29.2,31.6,17.7,2.8,2.4,6.46,4.44,1.92,0.1
94,1990,13.5,49.2,26.3,33.6,18.6,3.6,3.1,6.71,4.5,2.08,0.13
95,1960,98.1,0.5,0.1,1.1,0.4,0.2,0.1,0.13,0.1,0.03,0.01
95,1965,97.1,0.1,0,2.4,0.9,0.4,0.3,0.25,0.17,0.06,0.01
95,1970,99.3,0.2,0.1,0.6,0.2,0.2,0.1,0.08,0.06,0.02,0.01
95,1975,97.2,1.2,0.3,1,0.4,0.7,0.5,0.21,0.15,0.04,0.02
95,1980,82.3,8.8,2.4,6.9,2.6,1.9,1.3,1.13,0.86,0.2,0.07
95,1985,79.7,10.2,2.8,7.7,2.9,2.4,1.7,1.31,1,0.23,0.08
95,1990,72.3,15.2,4.1,9.1,3.5,3.4,2.4,1.74,1.33,0.29,0.12
97,1960,76.9,18.4,2,4.2,1.6,0.6,0.5,1.05,0.75,0.28,0.02
97,1965,72.9,19.7,10.4,6.6,2.5,0.8,0.6,1.58,1.12,0.44,0.03
97,1970,70.7,12.4,9,11.8,6,5.1,4.4,2.63,1.38,1.06,0.19
97,1975,69.8,14,7.2,11.4,4.4,4.8,4.2,2.52,1.34,1,0.18
97,1980,68.5,12.3,5.4,16.2,6.3,3,2.6,2.66,1.4,1.15,0.11
97,1985,64.9,16.2,6.5,15.8,6.1,3.2,2.7,2.77,1.52,1.13,0.12
97,1990,60.9,13.7,5.4,21.3,12.2,4,3.4,3.48,1.74,1.59,0.15
98,1960,29.5,50.5,21.3,12.9,6.2,7,4.3,4.25,3.36,0.66,0.23
98,1965,28.6,51.6,20.3,11.7,6.3,8.1,4.9,4.29,3.35,0.68,0.26
98,1970,17.3,55.5,17.8,16.6,10.4,9.8,5.9,5.03,3.78,0.93,0.31
98,1975,12.3,56.2,20.8,18.9,11.2,12.5,7.6,5.7,4.19,1.1,0.4
98,1980,10.1,53.1,21.9,21.2,11.9,15.3,9.2,6.21,4.44,1.28,0.49
98,1985,9.8,54.5,25.4,17.9,9.7,17.7,10.6,6.35,4.53,1.26,0.57
98,1990,8.8,54.1,26.2,15.7,8.2,21.3,12.7,6.65,4.63,1.33,0.68
100,1960,37.6,29.6,11.8,32.8,11.6,0,0,4.75,3.21,1.54,0
100,1965,33.7,36.3,14.4,29.1,10.3,0.9,0.6,4.77,3.32,1.42,0.03
100,1970,30.2,39.4,15.6,27.6,9.9,3,2,5.06,3.48,1.48,0.1
100,1975,25.8,40.5,16,29.4,10.7,4.3,3,5.51,3.71,1.65,0.15
100,1980,33.3,45.3,17.8,16.7,6.2,4.8,3.3,4.42,3.18,1.08,0.16
100,1985,26.7,46.5,18.3,21,8.2,5.8,4,5.1,3.55,1.35,0.2
100,1990,21.8,40.4,15.9,31.9,9.4,5.9,4.1,5.97,3.96,1.82,0.2
101,1960,20.4,54.2,8.4,24.7,10,0.6,0.3,4.1,2.83,1.25,0.02
101,1965,18.3,56.1,16.9,25,10.1,0.6,0.3,4.4,3.11,1.27,0.02
101,1970,19.8,52.1,26,25.5,10.2,2.7,1.6,4.89,3.36,1.44,0.09
101,1975,20.4,51.2,19.5,25.9,10.5,2.5,1.5,4.72,3.19,1.45,0.08
101,1980,9.4,52.3,20.6,36.8,15.5,1.4,0.8,5.7,3.73,1.93,0.04
101,1985,7.4,53.9,21.4,36.8,15.7,1.7,1,5.83,3.81,1.96,0.05
101,1990,10.1,50,20,37.6,16.2,2.3,1.3,5.85,3.74,2.04,0.07
102,1960,61.2,35.4,4.6,2.7,1.3,0.9,0.6,1.62,1.42,0.17,0.03
102,1965,56.5,38.2,10,3.5,1.8,1.8,1.2,2.09,1.76,0.27,0.06
102,1970,49.9,41.5,12.9,6.6,3.3,2.2,1.5,2.66,2.16,0.43,0.07
102,1975,44.6,42.1,13.9,8.7,4.3,4.5,3,3.28,2.47,0.66,0.15
102,1980,37.7,43.2,14.6,11.8,5.9,7.3,5,4.1,2.88,0.97,0.25
102,1985,31.8,41.9,14.3,14.9,7.4,11.4,7.9,5,3.26,1.35,0.39
102,1990,23.3,44.7,15.3,17.6,8.8,14.3,9.9,5.85,3.72,1.65,0.48
103,1960,26.4,53.8,20.8,13,5.7,7.1,3.7,4.64,3.44,0.98,0.22
103,1965,26.2,45.5,18.9,21.4,10.1,7.1,3.7,5.23,3.64,1.37,0.22
103,1970,24.9,39.9,18.4,26.8,13.7,8.6,4.4,5.86,3.87,1.73,0.26
103,1975,17.9,47.7,26.5,26.2,14.4,8.4,4.4,6.27,4.3,1.72,0.26
103,1980,13.5,45.3,39.2,28.3,16,12.7,6.8,7.48,5,2.09,0.39
103,1985,11.7,34.5,21.9,38.2,21,15.3,8.2,8.07,4.91,2.7,0.47
103,1990,10.1,27.5,15,45.3,24.3,17,9.1,8.64,5.01,3.11,0.52
104,1960,36.6,54.8,40.2,7.5,2.6,0.9,0.9,4.31,3.92,0.36,0.04
104,1965,31.3,60.5,25.5,6.9,2.3,1.3,1.3,3.98,3.58,0.35,0.05
104,1970,24.5,67.6,26.8,6.4,2.1,1.5,1.5,4.26,3.86,0.35,0.06
104,1975,21.3,70.4,21,6.3,2,2.1,2.1,4.23,3.78,0.37,0.08
104,1980,14.5,72.5,3.2,9.4,2.9,3.4,3.4,4.26,3.55,0.57,0.14
104,1985,15.5,71.2,23.3,7.2,2.5,6.2,6.1,5.14,4.24,0.66,0.25
104,1990,16.7,69.6,30.2,3.8,1.3,9.9,9.9,5.59,4.45,0.75,0.4
105,1975,70.1,6,2,17.5,8.6,6.6,4.5,3.08,1.68,1.18,0.22
107,1960,2,87.5,46.2,6.3,2.8,4.1,2.4,3.98,3.09,0.76,0.13
107,1965,3.4,81.3,42.9,10.3,4.6,5.1,3,4.36,3.1,1.1,0.16
107,1970,4.4,41.5,21.3,49.7,21.8,4.5,2.7,7.04,3.42,3.48,0.14
107,1975,5.1,40.6,20.9,48.4,21.3,6,3.6,7.13,3.4,3.54,0.19
107,1980,0,34,17.4,60.7,26.8,5.4,3.2,8.1,3.67,4.25,0.17
107,1985,0.8,32,16.4,59.1,26.1,8.1,5,8.31,3.65,4.4,0.26
107,1990,2.1,30.4,15.7,56.4,24.9,11,7,8.47,3.62,4.49,0.36
108,1960,2,64.3,39.8,28.2,9.6,5.5,4.8,7.67,6,1.47,0.21
108,1965,2,61.5,42.6,30.2,10.2,6.3,5.5,8.03,6.2,1.59,0.24
108,1970,1,61,56.9,30.5,10,7.4,6.5,8.71,6.78,1.66,0.28
108,1975,0.9,57.2,36.6,32.5,10.3,9.3,8.2,8.4,6.21,1.84,0.35
108,1980,0.8,53.1,28.2,34.4,10.6,11.6,10.3,8.56,6.07,2.05,0.44
108,1985,1.4,48.4,23.7,36.1,10.9,14,12.4,8.81,6.03,2.25,0.53
108,1990,1.8,44.5,21.1,37.3,11.1,16.4,14.7,9.11,6.05,2.44,0.62
109,1960,14.2,66.2,44,17.3,8.7,2.4,1.6,5.49,4.49,0.92,0.08
109,1965,12,64.9,30.5,20.8,10.4,2.2,1.5,5.39,4.24,1.07,0.08
109,1970,10.4,62.9,24.6,24.6,12.4,2,1.4,5.53,4.23,1.23,0.07
109,1975,4.5,53,19.2,30.3,15.3,12.2,8.5,7.23,4.72,2.1,0.41
109,1980,6.4,51.1,17.9,32.1,16.2,10.5,7.4,7.06,4.62,2.08,0.36
109,1985,1.7,43.9,15.2,38.3,19.5,16.1,11.6,8.29,5.03,2.7,0.55
109,1990,2.5,39,13.4,43.8,22.3,14.7,10.6,8.45,5.08,2.87,0.51
110,1960,0,50.4,26.9,33.6,12.8,16,10.8,10.05,7.94,1.57,0.54
110,1965,0.7,47.2,25.1,36.4,15.7,15.8,10.6,10.15,7.95,1.67,0.53
110,1970,1.5,44.3,23.5,38.2,19.2,16,10.6,10.24,7.93,1.79,0.53
110,1975,1.3,40,21.1,41.7,25.2,16.9,11.2,10.61,8.03,2.01,0.56
110,1980,1.6,38.4,20.2,41.2,31.1,18.7,12.3,10.85,8.04,2.2,0.62
110,1985,2,37.5,19.8,40.6,40,19.9,13.1,11.09,8.02,2.41,0.66
110,1990,0,32.7,17.3,47.3,44.2,19.7,13.2,11.56,8.28,2.62,0.66
111,1960,1.4,89.7,47.6,4.5,1.6,4.5,2.9,7.35,6.98,0.22,0.15
111,1965,1.2,85.4,45.4,8.5,3,4.9,3.2,7.57,7.09,0.32,0.16
111,1970,0.5,70.2,37.3,22.2,7.3,7,4.5,8.36,7.48,0.65,0.23
111,1975,0.6,66.9,35.6,24.3,15.2,8.1,5.2,8.64,7.54,0.84,0.27
111,1980,1.4,48.6,25.8,36.3,30,13.6,8.7,9.69,7.84,1.4,0.45
111,1985,1,51.9,27.5,30.9,21.1,16.2,10.2,9.61,7.81,1.27,0.53
111,1990,0,47.2,25,35.3,20.4,17.7,11.3,9.97,8.02,1.37,0.58
112,1960,0,90.2,53.1,6.9,3,3.3,1.9,4.8,4.1,0.6,0.1
112,1965,0,87.5,51.2,8.9,3.5,4,2.3,4.98,4.11,0.74,0.12
112,1970,0.5,84.5,48.4,10.7,4.2,4.3,2.5,5.07,4.07,0.86,0.14
112,1975,0.8,79.4,42.3,12.6,4.8,7.2,4.2,5.41,4.03,1.15,0.23
112,1980,1,62.5,25.7,27.1,9.1,9.5,6,6.36,4.03,2.02,0.31
112,1985,1.1,57.4,25.6,30.1,10,11.4,7.3,6.82,4.15,2.3,0.37
112,1990,0.8,53.4,24.5,32.2,10.4,13.5,8.7,7.23,4.23,2.55,0.44
113,1960,1.9,84.8,44.9,10.9,4.9,2.3,1.5,7.5,7.02,0.41,0.08
113,1965,1.6,77.4,41,17.5,7.8,3.3,2.1,7.95,7.2,0.64,0.11
113,1970,1.4,72.4,38.3,21.5,9.5,4.5,2.8,8.28,7.33,0.8,0.15
113,1975,0.5,75.9,40.2,15.1,6.8,8.5,5.1,8.4,7.35,0.78,0.27
113,1980,0.2,72.8,38.6,16.8,7.5,10.2,6.3,8.67,7.44,0.89,0.33
113,1985,1.1,69.1,36.6,18.5,8.2,11.4,7,8.8,7.44,0.99,0.37
113,1990,3.1,57.7,30.4,24.8,11,14.5,9,9.26,7.5,1.29,0.47
114,1960,8.8,77.5,45.9,9.7,3.9,4.1,3.9,5.33,4.52,0.65,0.16
114,1965,7,76.5,53.4,12.2,5.2,4.4,4.2,5.85,4.89,0.78,0.17
114,1970,6.5,75.5,52.2,11.9,5.5,6,5.8,6.03,4.91,0.89,0.24
114,1975,7.3,70.8,51,14.4,7.6,7.5,7.1,6.36,4.97,1.11,0.29
114,1980,4.7,62.4,47.2,22.3,14.1,10.6,10.1,7.4,5.26,1.73,0.41
114,1985,4.5,58.5,56.1,25.3,16.2,11.7,11.1,8.06,5.66,1.94,0.46
114,1990,2.4,52.5,40.8,35.3,32.3,9.8,9.3,9.07,6.07,2.62,0.38
115,1960,3,83.9,50.1,7.4,2.9,5.7,5.5,7.06,6.41,0.43,0.22
115,1965,2.3,82.7,52.4,9.2,3.5,5.7,5.5,7.3,6.59,0.48,0.22
115,1970,3.3,87.1,67.2,4.2,1.5,5.4,5.3,7.49,6.95,0.33,0.21
115,1975,2.9,80.5,55.4,10.3,3.9,6.2,6,7.53,6.75,0.53,0.24
115,1980,0.8,62.1,51.9,28.1,10.9,9.3,9,9.07,7.55,1.15,0.37
115,1985,1.3,60.8,16.9,28.2,10.9,9.7,9.5,7.7,6.14,1.17,0.38
115,1990,1,56.6,37.4,30.7,11.9,11.7,11.4,8.94,7.16,1.32,0.46
116,1960,1,85.3,45.6,7.9,3.6,5.8,3.4,5.72,4.75,0.78,0.18
116,1965,1,80.4,42.9,12.1,5.4,6.4,3.8,6.05,4.82,1.03,0.21
116,1970,1,74.6,39.8,17.1,7.6,7.2,4.3,6.45,4.89,1.33,0.23
116,1975,0.7,67.7,36,23.2,10.3,8.5,5.1,6.98,5.01,1.7,0.27
116,1980,0.8,61.1,32.5,27.7,12.3,10.4,6.3,7.48,5.09,2.05,0.33
116,1985,1.6,54.1,28.8,32,14.2,12.3,7.6,7.92,5.14,2.38,0.4
116,1990,1.6,48.7,25.9,36.2,16.1,13.5,8.6,8.34,5.22,2.68,0.44
117,1960,4.4,67.9,36.4,22.8,10.2,4.9,3.1,6.24,4.79,1.29,0.16
117,1965,4,68.2,36.5,22.3,10,5.5,3.5,6.29,4.81,1.3,0.18
117,1970,3.6,66.6,35.7,24.1,10.8,5.6,3.6,6.42,4.86,1.39,0.18
117,1975,3.4,64.3,34.4,25.2,11.3,7.2,4.5,6.66,4.9,1.52,0.23
117,1980,2.7,51.6,27.7,36.3,16.2,9.3,6,7.56,5.12,2.14,0.31
117,1985,3.5,47,25.2,38.2,17,11.4,7.3,7.85,5.14,2.34,0.37
117,1990,4.3,42.2,22.6,39.4,17.6,14.1,9,8.17,5.15,2.55,0.46
118,1960,9.5,70.7,42.8,16.1,6,3.3,2,4.96,3.81,1.05,0.11
118,1965,8.2,71.4,45.2,16.1,6.6,4.1,2.5,5.2,3.93,1.14,0.13
118,1970,5.6,70.2,50.4,20.4,8.3,3.8,2.3,5.68,4.22,1.33,0.12
118,1975,4.9,67.9,38.1,21.3,8.8,5.9,3.7,5.76,4.01,1.55,0.19
118,1980,14.9,45.8,23,33.8,12.8,5.4,3.4,5.95,3.68,2.09,0.18
118,1985,13.1,44.2,21.2,34.1,12.1,8.6,5.4,6.37,3.77,2.32,0.28
118,1990,11.8,42.5,20,34.9,11.8,10.9,7,6.71,3.85,2.51,0.36
120,1960,21.3,53.2,21.8,21.2,10.8,4.2,2.9,6.18,5.03,1.01,0.14
120,1965,22.5,53.4,12.9,20,10.2,4.1,2.8,5.69,4.59,0.96,0.14
120,1970,23.4,52.3,16,19.7,10,4.5,3.1,5.79,4.67,0.97,0.15
120,1975,23.9,51.5,16.9,19.5,9.9,5,3.5,5.86,4.7,0.99,0.17
120,1980,23.8,47.7,16.1,23.1,11.8,5.4,3.7,6.15,4.83,1.14,0.18
120,1985,22,42.5,14.5,30.2,15.4,5.2,3.6,6.69,5.11,1.4,0.18
120,1990,21,39.7,13.6,33.8,17.3,5.5,3.8,7.01,5.27,1.55,0.19
121,1960,2,83.1,44.2,12.7,3.9,2.2,1.3,5.42,4.71,0.63,0.07
121,1965,1.9,78.8,41.9,14.9,4.8,4.4,2.6,5.78,4.78,0.86,0.14
121,1970,2.1,39.1,20.7,49,9.5,9.7,6,7.97,5.32,2.34,0.31
121,1975,2.5,38.4,20.3,46.5,10.2,12.6,7.7,8.17,5.31,2.46,0.41
121,1980,2.9,36,19,45.5,10.8,15.6,9.6,8.45,5.32,2.63,0.51
121,1985,3.6,32.7,17.2,45.2,11.3,18.5,11.5,8.73,5.32,2.8,0.6
121,1990,4.5,29.5,15.6,45,11.7,21,13.1,8.96,5.31,2.96,0.68
122,1960,2,78.9,42,15.7,6.9,3.5,1.6,5.76,4.77,0.89,0.1
122,1965,7.9,71.6,38,16.4,7.3,4,1.9,5.58,4.52,0.95,0.12
122,1970,0.6,65.3,34.6,23.9,10.5,10.3,5.2,7,5.04,1.65,0.31
122,1975,2,59.7,31.6,26.2,11.6,12.2,6.2,7.27,5.04,1.86,0.37
122,1980,2,54,28.6,28.7,12.7,15.2,7.9,7.73,5.11,2.15,0.46
122,1985,3.6,48.1,25.4,31.8,14.1,16.6,8.8,7.99,5.11,2.37,0.51
122,1990,3.2,44.4,23.5,34.2,15.1,18.3,9.8,8.33,5.19,2.58,0.56
123,1960,5.9,69.7,41.4,19.8,10.2,4.8,4.2,7.38,6.41,0.79,0.18
123,1965,3.5,61.3,37.4,30.1,11.7,5.1,4.4,8,6.77,1.04,0.19
123,1970,3.1,65.1,42.4,25,9.6,6.8,5.8,8.06,6.84,0.96,0.25
123,1975,3.5,64.1,46.7,24.3,9.4,8,6.9,8.31,7.02,1,0.3
123,1980,1.8,52.3,42,38.8,15,7.2,6.2,9.07,7.44,1.36,0.27
123,1985,2.3,50.7,38.4,38.5,14.8,8.5,7.3,9.05,7.33,1.41,0.31
