"SHCODE","YEAR","N0M25","PRIM25","PRICM25","SECM25","SECCM25","HIGHM25","HIGHCM25","TYRM25","PYRM25","SYRM25","HYRM25"
40,1965,70.2,22.4,6.4,6.8,2.6,0.6,0.5,1.98,1.74,0.21,0.02
40,1970,70.5,22.7,9.9,6.3,2,0.5,0.4,2.05,1.85,0.19,0.02
40,1975,50.7,34.6,10.2,14.1,4.5,0.6,0.4,3.38,2.96,0.39,0.02
40,1980,48.3,43.5,15.5,7.2,1.6,1,0.8,3.27,3.01,0.22,0.04
40,1985,45.8,43.6,16.7,8.8,1.8,1.8,1.5,3.62,3.26,0.29,0.07
40,1990,41.9,45.2,17.6,10.4,2,2.5,2,3.98,3.55,0.35,0.09
42,1960,90.1,8.4,2.6,1.2,0.3,0.3,0.2,0.5,0.42,0.08,0.01
42,1965,86.6,11.9,3.9,1.2,0.3,0.2,0.2,0.64,0.56,0.07,0.01
42,1970,82.6,15.6,5.8,1.4,0.3,0.2,0.2,0.83,0.74,0.08,0.01
42,1975,76.5,20.8,6.4,2.3,0.4,0.3,0.3,1.12,0.97,0.13,0.01
42,1980,64.9,19.5,5.9,13.5,2.2,2.2,1.7,2.54,1.7,0.76,0.08
42,1985,57.2,25.6,7.7,14.8,2.1,2.5,2,2.96,2.04,0.83,0.09
42,1990,46.2,31.4,9.8,19.8,2.6,2.8,2.2,3.75,2.59,1.06,0.1
43,1960,86.2,8.7,2.9,3.8,1.6,1.3,1.1,0.94,0.65,0.24,0.05
43,1965,82.4,11.5,3.8,4.7,2,1.2,1,1.13,0.81,0.27,0.04
43,1970,76.9,15.6,5,5.9,2.7,1.5,1.3,1.47,1.07,0.35,0.06
43,1975,74.7,13.8,4.4,9.6,4.7,1.9,1.7,1.85,1.23,0.54,0.07
43,1980,59.1,25,7.9,13,7.1,2.9,2.5,2.83,1.94,0.78,0.11
43,1985,53.5,25.1,7.9,17.1,9.7,4.3,3.7,3.5,2.28,1.06,0.16
43,1990,44.2,32.8,10.1,18.2,10.5,4.9,4.3,4.01,2.67,1.16,0.18
44,1960,53.4,44.4,13.8,2.1,0.3,0,0,1.93,1.88,0.05,0
44,1965,56.1,40.4,10.8,3.1,0.4,0.1,0.1,1.81,1.73,0.08,0
44,1970,56.5,40.3,5.2,3.4,0.2,0.2,0.2,1.67,1.58,0.08,0.01
44,1975,54.5,42,9.3,3.1,0.3,0.3,0.3,1.85,1.75,0.09,0.01
44,1980,49.9,46.1,12.6,3.5,0.3,0.5,0.4,2.12,2,0.1,0.02
44,1985,53,42.6,12.7,3.9,0.4,0.6,0.4,2.06,1.92,0.12,0.02
44,1990,54.3,40.7,12.8,4.3,0.4,0.7,0.6,2.06,1.91,0.13,0.02
45,1960,72.3,26.2,3.6,1.6,0.4,0,0,1.04,0.99,0.05,0
45,1965,67,31.2,6.2,1.8,0.5,0.1,0,1.3,1.24,0.06,0
45,1970,61.9,35.7,8.3,2.3,0.6,0.1,0.1,1.55,1.47,0.08,0
45,1975,57.7,38.9,10.1,3.1,0.8,0.4,0.3,1.81,1.68,0.12,0.01
45,1980,54.7,39.9,11.8,4.6,1.3,0.8,0.7,2.1,1.88,0.19,0.03
45,1985,47.9,43.2,13.7,7.9,2.2,1.1,0.8,2.59,2.24,0.31,0.04
45,1990,43.6,39.1,13.5,15.9,4.3,1.5,1.1,3.25,2.62,0.58,0.05
46,1960,51.5,46.4,8,1.2,0.4,0.9,0.7,2.49,2.35,0.11,0.03
46,1965,52.2,45.9,15.9,1.2,0.4,0.7,0.6,2.76,2.63,0.1,0.03
46,1970,47.7,45.7,11.1,5.8,2.2,0.9,0.7,3.18,2.81,0.33,0.03
46,1975,46.7,46.2,13.1,6.3,1.9,0.9,0.7,3.32,2.94,0.34,0.03
46,1980,34.6,44.8,14.9,20,5,0.6,0.5,4.99,4.03,0.94,0.02
46,1985,29.4,51,18.3,18.6,3.9,1.1,0.8,5.26,4.34,0.88,0.04
46,1990,25.3,55.6,21,17.9,3.2,1.3,1,5.5,4.6,0.86,0.05
47,1960,47.8,50.2,20.6,1.4,0.2,0.6,0.5,1.99,1.87,0.1,0.02
47,1965,43.9,52.1,18.7,3.5,0.3,0.5,0.4,2.16,1.97,0.18,0.02
47,1970,30.5,65.5,14.7,3.3,0,1,0.8,2.45,2.22,0.19,0.04
47,1975,28.1,67.1,20.4,3.8,0.1,1.1,0.9,2.69,2.43,0.22,0.04
47,1980,22.3,72.2,24.2,4.1,0.2,1.5,1.2,3,2.69,0.26,0.05
47,1985,25.6,67.6,23.9,5.5,0.4,1.4,1.1,2.99,2.63,0.31,0.05
47,1990,28.6,63.8,23.2,5.6,0.5,2,1.6,2.98,2.56,0.35,0.07
49,1960,0,80,16.7,17.2,2,1.8,1.2,5.16,4.04,1.06,0.06
49,1965,1.3,79.7,16.7,17.3,1.7,1.6,1.1,5.13,4.03,1.05,0.06
49,1970,1.1,30.6,6.2,66,7.8,1.9,1.3,8.93,5.18,3.68,0.06
49,1975,1.4,30.4,6.1,66.1,9.9,2.1,1.4,9.03,5.19,3.77,0.07
49,1980,0.7,61.4,13.1,32.7,4,5,3.4,6.82,4.5,2.16,0.17
49,1985,1.9,53.9,11.7,37.2,4.9,7,4.7,7.41,4.62,2.56,0.23
49,1990,1.6,46.4,10,42.7,5.6,9.3,6.2,8.17,4.81,3.05,0.31
50,1960,1.7,49.8,28.9,34.4,14.8,13.9,4.4,7.93,5.25,2.31,0.37
50,1965,2.8,50.1,28.3,32.4,13.5,14.6,4.6,7.81,5.17,2.25,0.38
50,1970,1.4,39.8,20.5,41.7,17.6,17.1,5.4,8.59,5.34,2.8,0.45
50,1975,1.7,31.2,12.4,33.7,14.5,33.4,10.7,9.66,5.33,3.45,0.88
50,1980,1.8,23.8,9.6,33.8,15,40.3,12.9,10.39,5.45,3.88,1.06
50,1985,1,20.4,15.3,56.5,24.7,21.7,6.9,10.08,5.77,3.74,0.57
50,1990,0.9,15.8,11.8,60.2,27.4,23.3,7.4,10.48,5.84,4.03,0.61
